"radius_mm";"angle_rad";"angle_degree";"Axial-CURV-post_ [D]"
0.00000;;;-7.82918
0.10000;0.00000;0;-7.85607
0.20000;0.00000;0;-7.88106
0.30000;0.00000;0;-7.90332
0.40000;0.00000;0;-7.92244
0.50000;0.00000;0;-7.93790
0.60000;0.00000;0;-7.94905
0.70000;0.00000;0;-7.95519
0.80000;0.00000;0;-7.95558
0.90000;0.00000;0;-7.94950
1.00000;0.00000;0;-7.93625
1.10000;0.00000;0;-7.91528
1.20000;0.00000;0;-7.88613
1.30000;0.00000;0;-7.84855
1.40000;0.00000;0;-7.80245
1.50000;0.00000;0;-7.74795
1.60000;0.00000;0;-7.68537
1.70000;0.00000;0;-7.61523
1.80000;0.00000;0;-7.53822
1.90000;0.00000;0;-7.45519
2.00000;0.00000;0;-7.36711
2.10000;0.00000;0;-7.27504
2.20000;0.00000;0;-7.18012
2.30000;0.00000;0;-7.08350
2.40000;0.00000;0;-6.98636
2.50000;0.00000;0;-6.88984
2.60000;0.00000;0;-6.79505
2.70000;0.00000;0;-6.70302
2.80000;0.00000;0;-6.61473
2.90000;0.00000;0;-6.53105
3.00000;0.00000;0;-6.45278
3.10000;0.00000;0;-6.38059
3.20000;0.00000;0;-6.31506
3.30000;0.00000;0;-6.25667
3.40000;0.00000;0;-6.20579
3.50000;0.00000;0;-6.16267
3.60000;0.00000;0;-6.12749
3.70000;0.00000;0;-6.10032
3.80000;0.00000;0;-6.08114
3.90000;0.00000;0;-6.06986
4.00000;0.00000;0;-6.06630
4.10000;0.00000;0;-6.07024
4.20000;0.00000;0;-6.08139
4.30000;0.00000;0;-6.09941
4.40000;0.00000;0;-6.12394
4.50000;0.00000;0;-6.15456
4.60000;0.00000;0;-6.19083
4.70000;0.00000;0;-6.23228
4.80000;0.00000;0;-6.27837
4.90000;0.00000;0;-6.32854
5.00000;0.00000;0;-6.38210
0.10000;3.14159;180;-7.79876
0.20000;3.14159;180;-7.76652
0.30000;3.14159;180;-7.73171
0.40000;3.14159;180;-7.69405
0.50000;3.14159;180;-7.65319
0.60000;3.14159;180;-7.60876
0.70000;3.14159;180;-7.56036
0.80000;3.14159;180;-7.50762
0.90000;3.14159;180;-7.45028
1.00000;3.14159;180;-7.38812
1.10000;3.14159;180;-7.32111
1.20000;3.14159;180;-7.24931
1.30000;3.14159;180;-7.17298
1.40000;3.14159;180;-7.09251
1.50000;3.14159;180;-7.00846
1.60000;3.14159;180;-6.92150
1.70000;3.14159;180;-6.83246
1.80000;3.14159;180;-6.74224
1.90000;3.14159;180;-6.65179
2.00000;3.14159;180;-6.56212
2.10000;3.14159;180;-6.47425
2.20000;3.14159;180;-6.38915
2.30000;3.14159;180;-6.30774
2.40000;3.14159;180;-6.23088
2.50000;3.14159;180;-6.15930
2.60000;3.14159;180;-6.09364
2.70000;3.14159;180;-6.03439
2.80000;3.14159;180;-5.98190
2.90000;3.14159;180;-5.93640
3.00000;3.14159;180;-5.89797
3.10000;3.14159;180;-5.86657
3.20000;3.14159;180;-5.84206
3.30000;3.14159;180;-5.82419
3.40000;3.14159;180;-5.81265
3.50000;3.14159;180;-5.80708
3.60000;3.14159;180;-5.80708
3.70000;3.14159;180;-5.81225
3.80000;3.14159;180;-5.82220
3.90000;3.14159;180;-5.83655
4.00000;3.14159;180;-5.85498
4.10000;3.14159;180;-5.87720
4.20000;3.14159;180;-5.90295
4.30000;3.14159;180;-5.93203
4.40000;3.14159;180;-5.96427
4.50000;3.14159;180;-5.99955
4.60000;3.14159;180;-6.03772
4.70000;3.14159;180;-6.07867
4.80000;3.14159;180;-6.12226
4.90000;3.14159;180;-6.16829
5.00000;3.14159;180;-6.21654
0.10000;0.01745;1;-7.85533
0.20000;0.01745;1;-7.87867
0.30000;0.01745;1;-7.89925
0.40000;0.01745;1;-7.91666
0.50000;0.01745;1;-7.93037
0.60000;0.01745;1;-7.93977
0.70000;0.01745;1;-7.94417
0.80000;0.01745;1;-7.94283
0.90000;0.01745;1;-7.93506
1.00000;0.01745;1;-7.92020
1.10000;0.01745;1;-7.89770
1.20000;0.01745;1;-7.86716
1.30000;0.01745;1;-7.82831
1.40000;0.01745;1;-7.78110
1.50000;0.01745;1;-7.72567
1.60000;0.01745;1;-7.66235
1.70000;0.01745;1;-7.59165
1.80000;0.01745;1;-7.51428
1.90000;0.01745;1;-7.43108
2.00000;0.01745;1;-7.34301
2.10000;0.01745;1;-7.25113
2.20000;0.01745;1;-7.15656
2.30000;0.01745;1;-7.06045
2.40000;0.01745;1;-6.96395
2.50000;0.01745;1;-6.86819
2.60000;0.01745;1;-6.77426
2.70000;0.01745;1;-6.68319
2.80000;0.01745;1;-6.59591
2.90000;0.01745;1;-6.51330
3.00000;0.01745;1;-6.43612
3.10000;0.01745;1;-6.36503
3.20000;0.01745;1;-6.30060
3.30000;0.01745;1;-6.24329
3.40000;0.01745;1;-6.19343
3.50000;0.01745;1;-6.15129
3.60000;0.01745;1;-6.11702
3.70000;0.01745;1;-6.09068
3.80000;0.01745;1;-6.07224
3.90000;0.01745;1;-6.06162
4.00000;0.01745;1;-6.05863
4.10000;0.01745;1;-6.06305
4.20000;0.01745;1;-6.07459
4.30000;0.01745;1;-6.09293
4.40000;0.01745;1;-6.11771
4.50000;0.01745;1;-6.14851
4.60000;0.01745;1;-6.18492
4.70000;0.01745;1;-6.22647
4.80000;0.01745;1;-6.27263
4.90000;0.01745;1;-6.32284
5.00000;0.01745;1;-6.37645
0.10000;3.15905;181;-7.80125
0.20000;3.15905;181;-7.77059
0.30000;3.15905;181;-7.73735
0.40000;3.15905;181;-7.70125
0.50000;3.15905;181;-7.66196
0.60000;3.15905;181;-7.61908
0.70000;3.15905;181;-7.57222
0.80000;3.15905;181;-7.52101
0.90000;3.15905;181;-7.46514
1.00000;3.15905;181;-7.40442
1.10000;3.15905;181;-7.33876
1.20000;3.15905;181;-7.26823
1.30000;3.15905;181;-7.19305
1.40000;3.15905;181;-7.11359
1.50000;3.15905;181;-7.03040
1.60000;3.15905;181;-6.94415
1.70000;3.15905;181;-6.85563
1.80000;3.15905;181;-6.76574
1.90000;3.15905;181;-6.67546
2.00000;3.15905;181;-6.58578
2.10000;3.15905;181;-6.49773
2.20000;3.15905;181;-6.41230
2.30000;3.15905;181;-6.33043
2.40000;3.15905;181;-6.25299
2.50000;3.15905;181;-6.18074
2.60000;3.15905;181;-6.11432
2.70000;3.15905;181;-6.05426
2.80000;3.15905;181;-6.00093
2.90000;3.15905;181;-5.95457
3.00000;3.15905;181;-5.91528
3.10000;3.15905;181;-5.88303
3.20000;3.15905;181;-5.85769
3.30000;3.15905;181;-5.83902
3.40000;3.15905;181;-5.82672
3.50000;3.15905;181;-5.82043
3.60000;3.15905;181;-5.81975
3.70000;3.15905;181;-5.82428
3.80000;3.15905;181;-5.83363
3.90000;3.15905;181;-5.84743
4.00000;3.15905;181;-5.86535
4.10000;3.15905;181;-5.88708
4.20000;3.15905;181;-5.91238
4.30000;3.15905;181;-5.94105
4.40000;3.15905;181;-5.97291
4.50000;3.15905;181;-6.00783
4.60000;3.15905;181;-6.04568
4.70000;3.15905;181;-6.08634
4.80000;3.15905;181;-6.12964
4.90000;3.15905;181;-6.17542
5.00000;3.15905;181;-6.22341
0.10000;0.03491;2;-7.85450
0.20000;0.03491;2;-7.87617
0.30000;0.03491;2;-7.89503
0.40000;0.03491;2;-7.91070
0.50000;0.03491;2;-7.92265
0.60000;0.03491;2;-7.93027
0.70000;0.03491;2;-7.93288
0.80000;0.03491;2;-7.92978
0.90000;0.03491;2;-7.92028
1.00000;0.03491;2;-7.90378
1.10000;0.03491;2;-7.87973
1.20000;0.03491;2;-7.84775
1.30000;0.03491;2;-7.80762
1.40000;0.03491;2;-7.75930
1.50000;0.03491;2;-7.70294
1.60000;0.03491;2;-7.63888
1.70000;0.03491;2;-7.56765
1.80000;0.03491;2;-7.48995
1.90000;0.03491;2;-7.40662
2.00000;0.03491;2;-7.31863
2.10000;0.03491;2;-7.22700
2.20000;0.03491;2;-7.13286
2.30000;0.03491;2;-7.03734
2.40000;0.03491;2;-6.94156
2.50000;0.03491;2;-6.84665
2.60000;0.03491;2;-6.75367
2.70000;0.03491;2;-6.66363
2.80000;0.03491;2;-6.57745
2.90000;0.03491;2;-6.49598
3.00000;0.03491;2;-6.41995
3.10000;0.03491;2;-6.35003
3.20000;0.03491;2;-6.28674
3.30000;0.03491;2;-6.23052
3.40000;0.03491;2;-6.18172
3.50000;0.03491;2;-6.14056
3.60000;0.03491;2;-6.10720
3.70000;0.03491;2;-6.08167
3.80000;0.03491;2;-6.06396
3.90000;0.03491;2;-6.05396
4.00000;0.03491;2;-6.05150
4.10000;0.03491;2;-6.05635
4.20000;0.03491;2;-6.06824
4.30000;0.03491;2;-6.08685
4.40000;0.03491;2;-6.11182
4.50000;0.03491;2;-6.14277
4.60000;0.03491;2;-6.17927
4.70000;0.03491;2;-6.22086
4.80000;0.03491;2;-6.26705
4.90000;0.03491;2;-6.31728
5.00000;0.03491;2;-6.37090
0.10000;3.17650;182;-7.80367
0.20000;3.17650;182;-7.77461
0.30000;3.17650;182;-7.74295
0.40000;3.17650;182;-7.70842
0.50000;3.17650;182;-7.67069
0.60000;3.17650;182;-7.62937
0.70000;3.17650;182;-7.58405
0.80000;3.17650;182;-7.53436
0.90000;3.17650;182;-7.47997
1.00000;3.17650;182;-7.42068
1.10000;3.17650;182;-7.35637
1.20000;3.17650;182;-7.28709
1.30000;3.17650;182;-7.21304
1.40000;3.17650;182;-7.13459
1.50000;3.17650;182;-7.05225
1.60000;3.17650;182;-6.96668
1.70000;3.17650;182;-6.87867
1.80000;3.17650;182;-6.78912
1.90000;3.17650;182;-6.69900
2.00000;3.17650;182;-6.60931
2.10000;3.17650;182;-6.52109
2.20000;3.17650;182;-6.43534
2.30000;3.17650;182;-6.35303
2.40000;3.17650;182;-6.27503
2.50000;3.17650;182;-6.20213
2.60000;3.17650;182;-6.13499
2.70000;3.17650;182;-6.07416
2.80000;3.17650;182;-6.02003
2.90000;3.17650;182;-5.97285
3.00000;3.17650;182;-5.93274
3.10000;3.17650;182;-5.89968
3.20000;3.17650;182;-5.87356
3.30000;3.17650;182;-5.85413
3.40000;3.17650;182;-5.84110
3.50000;3.17650;182;-5.83412
3.60000;3.17650;182;-5.83278
3.70000;3.17650;182;-5.83670
3.80000;3.17650;182;-5.84547
3.90000;3.17650;182;-5.85872
4.00000;3.17650;182;-5.87611
4.10000;3.17650;182;-5.89736
4.20000;3.17650;182;-5.92221
4.30000;3.17650;182;-5.95045
4.40000;3.17650;182;-5.98191
4.50000;3.17650;182;-6.01646
4.60000;3.17650;182;-6.05396
4.70000;3.17650;182;-6.09429
4.80000;3.17650;182;-6.13729
4.90000;3.17650;182;-6.18277
5.00000;3.17650;182;-6.23050
0.10000;0.05236;3;-7.85356
0.20000;0.05236;3;-7.87354
0.30000;0.05236;3;-7.89067
0.40000;0.05236;3;-7.90457
0.50000;0.05236;3;-7.91472
0.60000;0.05236;3;-7.92052
0.70000;0.05236;3;-7.92131
0.80000;0.05236;3;-7.91641
0.90000;0.05236;3;-7.90517
1.00000;0.05236;3;-7.88697
1.10000;0.05236;3;-7.86135
1.20000;0.05236;3;-7.82792
1.30000;0.05236;3;-7.78649
1.40000;0.05236;3;-7.73705
1.50000;0.05236;3;-7.67976
1.60000;0.05236;3;-7.61498
1.70000;0.05236;3;-7.54324
1.80000;0.05236;3;-7.46525
1.90000;0.05236;3;-7.38185
2.00000;0.05236;3;-7.29398
2.10000;0.05236;3;-7.20268
2.20000;0.05236;3;-7.10904
2.30000;0.05236;3;-7.01419
2.40000;0.05236;3;-6.91922
2.50000;0.05236;3;-6.82525
2.60000;0.05236;3;-6.73331
2.70000;0.05236;3;-6.64438
2.80000;0.05236;3;-6.55938
2.90000;0.05236;3;-6.47911
3.00000;0.05236;3;-6.40431
3.10000;0.05236;3;-6.33560
3.20000;0.05236;3;-6.27349
3.30000;0.05236;3;-6.21842
3.40000;0.05236;3;-6.17068
3.50000;0.05236;3;-6.13051
3.60000;0.05236;3;-6.09804
3.70000;0.05236;3;-6.07332
3.80000;0.05236;3;-6.05630
3.90000;0.05236;3;-6.04689
4.00000;0.05236;3;-6.04492
4.10000;0.05236;3;-6.05016
4.20000;0.05236;3;-6.06235
4.30000;0.05236;3;-6.08117
4.40000;0.05236;3;-6.10629
4.50000;0.05236;3;-6.13732
4.60000;0.05236;3;-6.17386
4.70000;0.05236;3;-6.21546
4.80000;0.05236;3;-6.26163
4.90000;0.05236;3;-6.31183
5.00000;0.05236;3;-6.36543
0.10000;3.19395;183;-7.80603
0.20000;3.19395;183;-7.77858
0.30000;3.19395;183;-7.74851
0.40000;3.19395;183;-7.71556
0.50000;3.19395;183;-7.67941
0.60000;3.19395;183;-7.63965
0.70000;3.19395;183;-7.59587
0.80000;3.19395;183;-7.54770
