"radius_mm";"angle_rad";"angle_degree";"Post. Elevation BFS_[um]"
0.00000;;;32.48000
0.10000;0.00000;0;36.89304
0.20000;0.00000;0;40.82058
0.30000;0.00000;0;44.17809
0.40000;0.00000;0;46.88783
0.50000;0.00000;0;48.88241
0.60000;0.00000;0;50.10799
0.70000;0.00000;0;50.52702
0.80000;0.00000;0;50.12024
0.90000;0.00000;0;48.88788
1.00000;0.00000;0;46.84998
1.10000;0.00000;0;44.04590
1.20000;0.00000;0;40.53306
1.30000;0.00000;0;36.38512
1.40000;0.00000;0;31.68974
1.50000;0.00000;0;26.54607
1.60000;0.00000;0;21.06216
1.70000;0.00000;0;15.35241
1.80000;0.00000;0;9.53523
1.90000;0.00000;0;3.73081
2.00000;0.00000;0;-1.94074
2.10000;0.00000;0;-7.36117
2.20000;0.00000;0;-12.41554
2.30000;0.00000;0;-16.99369
2.40000;0.00000;0;-20.99151
2.50000;0.00000;0;-24.31223
2.60000;0.00000;0;-26.86777
2.70000;0.00000;0;-28.58001
2.80000;0.00000;0;-29.38218
2.90000;0.00000;0;-29.22024
3.00000;0.00000;0;-28.05423
3.10000;0.00000;0;-25.85957
3.20000;0.00000;0;-22.62839
3.30000;0.00000;0;-18.37062
3.40000;0.00000;0;-13.11516
3.50000;0.00000;0;-6.91087
3.60000;0.00000;0;0.17237
3.70000;0.00000;0;8.04262
3.80000;0.00000;0;16.58452
3.90000;0.00000;0;25.65775
4.00000;0.00000;0;35.09477
4.10000;0.00000;0;44.69776
4.20000;0.00000;0;54.23419
4.30000;0.00000;0;63.43046
4.40000;0.00000;0;71.96246
4.50000;0.00000;0;79.44170
4.60000;0.00000;0;85.39395
4.70000;0.00000;0;89.22594
4.80000;0.00000;0;90.17047
4.90000;0.00000;0;87.19081
5.00000;0.00000;0;78.79945
0.10000;3.14159;180;27.66929
0.20000;3.14159;180;22.54877
0.30000;3.14159;180;17.20356
0.40000;3.14159;180;11.71405
0.50000;3.14159;180;6.15455
0.60000;3.14159;180;0.59300
0.70000;3.14159;180;-4.90865
0.80000;3.14159;180;-10.29345
0.90000;3.14159;180;-15.50797
1.00000;3.14159;180;-20.50069
1.10000;3.14159;180;-25.22049
1.20000;3.14159;180;-29.61544
1.30000;3.14159;180;-33.63214
1.40000;3.14159;180;-37.21566
1.50000;3.14159;180;-40.31017
1.60000;3.14159;180;-42.86025
1.70000;3.14159;180;-44.81259
1.80000;3.14159;180;-46.11814
1.90000;3.14159;180;-46.73431
2.00000;3.14159;180;-46.62702
2.10000;3.14159;180;-45.77247
2.20000;3.14159;180;-44.15836
2.30000;3.14159;180;-41.78451
2.40000;3.14159;180;-38.66272
2.50000;3.14159;180;-34.81605
2.60000;3.14159;180;-30.27740
2.70000;3.14159;180;-25.08770
2.80000;3.14159;180;-19.29379
2.90000;3.14159;180;-12.94628
3.00000;3.14159;180;-6.09745
3.10000;3.14159;180;1.20038
3.20000;3.14159;180;8.89603
3.30000;3.14159;180;16.93992
3.40000;3.14159;180;25.28381
3.50000;3.14159;180;33.87963
3.60000;3.14159;180;42.67758
3.70000;3.14159;180;51.62332
3.80000;3.14159;180;60.65450
3.90000;3.14159;180;69.69658
4.00000;3.14159;180;78.65796
4.10000;3.14159;180;87.42459
4.20000;3.14159;180;95.85374
4.30000;3.14159;180;103.76680
4.40000;3.14159;180;110.94067
4.50000;3.14159;180;117.09658
4.60000;3.14159;180;121.88503
4.70000;3.14159;180;124.86409
4.80000;3.14159;180;125.46640
4.90000;3.14159;180;122.94634
5.00000;3.14159;180;116.28996
0.10000;0.01745;1;36.76640
0.20000;0.01745;1;40.56320
0.30000;0.01745;1;43.78795
0.40000;0.01745;1;46.36512
0.50000;0.01745;1;48.22957
0.60000;0.01745;1;49.32970
0.70000;0.01745;1;49.63011
0.80000;0.01745;1;49.11354
0.90000;0.01745;1;47.78200
1.00000;0.01745;1;45.65707
1.10000;0.01745;1;42.77937
1.20000;0.01745;1;39.20732
1.30000;0.01745;1;35.01531
