"radius_mm";"angle_rad";"angle_degree";"HEIGHT-ant_ [mm]"
0.00000;;;42.02516
0.10000;0.00000;0;42.02438
0.20000;0.00000;0;42.02231
0.30000;0.00000;0;42.01894
0.40000;0.00000;0;42.01428
0.50000;0.00000;0;42.00831
0.60000;0.00000;0;42.00104
0.70000;0.00000;0;41.99246
0.80000;0.00000;0;41.98257
0.90000;0.00000;0;41.97136
1.00000;0.00000;0;41.95883
1.10000;0.00000;0;41.94498
1.20000;0.00000;0;41.92981
1.30000;0.00000;0;41.91329
1.40000;0.00000;0;41.89544
1.50000;0.00000;0;41.87623
1.60000;0.00000;0;41.85568
1.70000;0.00000;0;41.83375
1.80000;0.00000;0;41.81046
1.90000;0.00000;0;41.78578
2.00000;0.00000;0;41.75970
2.10000;0.00000;0;41.73222
2.20000;0.00000;0;41.70332
2.30000;0.00000;0;41.67298
2.40000;0.00000;0;41.64119
2.50000;0.00000;0;41.60793
2.60000;0.00000;0;41.57319
2.70000;0.00000;0;41.53695
2.80000;0.00000;0;41.49918
2.90000;0.00000;0;41.45988
3.00000;0.00000;0;41.41901
3.10000;0.00000;0;41.37657
3.20000;0.00000;0;41.33252
3.30000;0.00000;0;41.28684
3.40000;0.00000;0;41.23952
3.50000;0.00000;0;41.19053
3.60000;0.00000;0;41.13984
3.70000;0.00000;0;41.08743
3.80000;0.00000;0;41.03328
3.90000;0.00000;0;40.97734
4.00000;0.00000;0;40.91959
4.10000;0.00000;0;40.85999
4.20000;0.00000;0;40.79850
4.30000;0.00000;0;40.73508
4.40000;0.00000;0;40.66968
4.50000;0.00000;0;40.60225
4.60000;0.00000;0;40.53271
4.70000;0.00000;0;40.46101
4.80000;0.00000;0;40.38706
4.90000;0.00000;0;40.31078
5.00000;0.00000;0;40.23208
0.10000;3.14159;180;42.02464
0.20000;3.14159;180;42.02283
0.30000;3.14159;180;42.01973
0.40000;3.14159;180;42.01534
0.50000;3.14159;180;42.00965
0.60000;3.14159;180;42.00267
0.70000;3.14159;180;41.99440
0.80000;3.14159;180;41.98483
0.90000;3.14159;180;41.97396
1.00000;3.14159;180;41.96178
1.10000;3.14159;180;41.94830
1.20000;3.14159;180;41.93350
1.30000;3.14159;180;41.91738
1.40000;3.14159;180;41.89993
1.50000;3.14159;180;41.88116
1.60000;3.14159;180;41.86105
1.70000;3.14159;180;41.83959
1.80000;3.14159;180;41.81678
1.90000;3.14159;180;41.79260
2.00000;3.14159;180;41.76706
2.10000;3.14159;180;41.74013
2.20000;3.14159;180;41.71181
2.30000;3.14159;180;41.68210
2.40000;3.14159;180;41.65097
2.50000;3.14159;180;41.61842
2.60000;3.14159;180;41.58444
2.70000;3.14159;180;41.54901
2.80000;3.14159;180;41.51213
2.90000;3.14159;180;41.47378
3.00000;3.14159;180;41.43395
3.10000;3.14159;180;41.39263
3.20000;3.14159;180;41.34982
3.30000;3.14159;180;41.30549
3.40000;3.14159;180;41.25963
3.50000;3.14159;180;41.21224
3.60000;3.14159;180;41.16330
3.70000;3.14159;180;41.11280
3.80000;3.14159;180;41.06072
3.90000;3.14159;180;41.00705
4.00000;3.14159;180;40.95177
4.10000;3.14159;180;40.89485
4.20000;3.14159;180;40.83626
4.30000;3.14159;180;40.77599
4.40000;3.14159;180;40.71400
4.50000;3.14159;180;40.65024
4.60000;3.14159;180;40.58466
4.70000;3.14159;180;40.51722
4.80000;3.14159;180;40.44784
4.90000;3.14159;180;40.37645
5.00000;3.14159;180;40.30297
0.10000;0.01745;1;42.02438
0.20000;0.01745;1;42.02231
0.30000;0.01745;1;42.01894
0.40000;0.01745;1;42.01427
0.50000;0.01745;1;42.00830
0.60000;0.01745;1;42.00102
0.70000;0.01745;1;41.99244
0.80000;0.01745;1;41.98255
0.90000;0.01745;1;41.97134
1.00000;0.01745;1;41.95881
1.10000;0.01745;1;41.94496
1.20000;0.01745;1;41.92978
1.30000;0.01745;1;41.91327
1.40000;0.01745;1;41.89542
1.50000;0.01745;1;41.87622
1.60000;0.01745;1;41.85566
1.70000;0.01745;1;41.83375
1.80000;0.01745;1;41.81046
1.90000;0.01745;1;41.78579
2.00000;0.01745;1;41.75972
2.10000;0.01745;1;41.73225
2.20000;0.01745;1;41.70335
2.30000;0.01745;1;41.67302
2.40000;0.01745;1;41.64124
2.50000;0.01745;1;41.60800
2.60000;0.01745;1;41.57327
2.70000;0.01745;1;41.53703
2.80000;0.01745;1;41.49928
2.90000;0.01745;1;41.45998
3.00000;0.01745;1;41.41913
3.10000;0.01745;1;41.37669
3.20000;0.01745;1;41.33265
