"radius_mm";"angle_rad";"angle_degree";"Refractive Power_ [D]"
0.00000;;;44.33707
0.10000;0.00000;0;45.51629
0.20000;0.00000;0;45.34043
0.30000;0.00000;0;45.17908
0.40000;0.00000;0;45.03472
0.50000;0.00000;0;44.90921
0.60000;0.00000;0;44.80379
0.70000;0.00000;0;44.71913
0.80000;0.00000;0;44.65536
0.90000;0.00000;0;44.61214
1.00000;0.00000;0;44.58876
1.10000;0.00000;0;44.58417
1.20000;0.00000;0;44.59710
1.30000;0.00000;0;44.62612
1.40000;0.00000;0;44.66969
1.50000;0.00000;0;44.72622
1.60000;0.00000;0;44.79414
1.70000;0.00000;0;44.87191
1.80000;0.00000;0;44.95806
1.90000;0.00000;0;45.05119
2.00000;0.00000;0;45.15000
2.10000;0.00000;0;45.25325
2.20000;0.00000;0;45.35981
2.30000;0.00000;0;45.46858
2.40000;0.00000;0;45.57855
2.50000;0.00000;0;45.68873
2.60000;0.00000;0;45.79820
2.70000;0.00000;0;45.90603
2.80000;0.00000;0;46.01135
2.90000;0.00000;0;46.11333
3.00000;0.00000;0;46.21118
3.10000;0.00000;0;46.30418
3.20000;0.00000;0;46.39167
3.30000;0.00000;0;46.47313
3.40000;0.00000;0;46.54815
3.50000;0.00000;0;46.61648
3.60000;0.00000;0;46.67807
3.70000;0.00000;0;46.73307
3.80000;0.00000;0;46.78187
3.90000;0.00000;0;46.82512
4.00000;0.00000;0;46.86375
4.10000;0.00000;0;46.89897
4.20000;0.00000;0;46.93230
4.30000;0.00000;0;46.96556
4.40000;0.00000;0;47.00086
4.50000;0.00000;0;47.04063
4.60000;0.00000;0;47.08758
4.70000;0.00000;0;47.14473
4.80000;0.00000;0;47.21534
4.90000;0.00000;0;47.30299
5.00000;0.00000;0;47.41149
0.10000;3.14159;180;45.89858
0.20000;3.14159;180;46.09718
0.30000;3.14159;180;46.29482
0.40000;3.14159;180;46.48664
0.50000;3.14159;180;46.66770
0.60000;3.14159;180;46.83311
0.70000;3.14159;180;46.97821
0.80000;3.14159;180;47.09876
0.90000;3.14159;180;47.19113
1.00000;3.14159;180;47.25244
1.10000;3.14159;180;47.28072
1.20000;3.14159;180;47.27502
1.30000;3.14159;180;47.23548
1.40000;3.14159;180;47.16332
1.50000;3.14159;180;47.06090
1.60000;3.14159;180;46.93157
1.70000;3.14159;180;46.77964
1.80000;3.14159;180;46.61018
1.90000;3.14159;180;46.42886
2.00000;3.14159;180;46.24177
2.10000;3.14159;180;46.05516
2.20000;3.14159;180;45.87525
2.30000;3.14159;180;45.70799
2.40000;3.14159;180;45.55886
2.50000;3.14159;180;45.43266
2.60000;3.14159;180;45.33337
2.70000;3.14159;180;45.26403
2.80000;3.14159;180;45.22664
2.90000;3.14159;180;45.22213
3.00000;3.14159;180;45.25036
3.10000;3.14159;180;45.31018
3.20000;3.14159;180;45.39949
3.30000;3.14159;180;45.51541
3.40000;3.14159;180;45.65440
3.50000;3.14159;180;45.81245
3.60000;3.14159;180;45.98525
3.70000;3.14159;180;46.16843
3.80000;3.14159;180;46.35770
3.90000;3.14159;180;46.54907
4.00000;3.14159;180;46.73900
4.10000;3.14159;180;46.92449
4.20000;3.14159;180;47.10329
4.30000;3.14159;180;47.27386
4.40000;3.14159;180;47.43555
4.50000;3.14159;180;47.58849
4.60000;3.14159;180;47.73370
4.70000;3.14159;180;47.87301
4.80000;3.14159;180;48.00903
4.90000;3.14159;180;48.14508
5.00000;3.14159;180;48.28518
0.10000;0.01745;1;45.44015
0.20000;0.01745;1;45.26489
0.30000;0.01745;1;45.10433
0.40000;0.01745;1;44.96094
0.50000;0.01745;1;44.83654
0.60000;0.01745;1;44.73234
0.70000;0.01745;1;44.64899
0.80000;0.01745;1;44.58661
0.90000;0.01745;1;44.54483
1.00000;0.01745;1;44.52294
