"radius_mm";"angle_rad";"angle_degree";"Ant. Elevation BFS_[um]"
0.00000;;;19.08526
0.10000;0.00000;0;19.00368
0.20000;0.00000;0;18.74081
0.30000;0.00000;0;18.30418
0.40000;0.00000;0;17.70233
0.50000;0.00000;0;16.94470
0.60000;0.00000;0;16.04158
0.70000;0.00000;0;15.00413
0.80000;0.00000;0;13.84437
0.90000;0.00000;0;12.57533
1.00000;0.00000;0;11.21112
1.10000;0.00000;0;9.76700
1.20000;0.00000;0;8.25955
1.30000;0.00000;0;6.70670
1.40000;0.00000;0;5.12781
1.50000;0.00000;0;3.54367
1.60000;0.00000;0;1.97652
1.70000;0.00000;0;0.44994
1.80000;0.00000;0;-1.01122
1.90000;0.00000;0;-2.38095
2.00000;0.00000;0;-3.63227
2.10000;0.00000;0;-4.73737
2.20000;0.00000;0;-5.66782
2.30000;0.00000;0;-6.39476
2.40000;0.00000;0;-6.88904
2.50000;0.00000;0;-7.12145
2.60000;0.00000;0;-7.06281
2.70000;0.00000;0;-6.68417
2.80000;0.00000;0;-5.95684
2.90000;0.00000;0;-4.85257
3.00000;0.00000;0;-3.34354
3.10000;0.00000;0;-1.40248
3.20000;0.00000;0;0.99731
3.30000;0.00000;0;3.88189
3.40000;0.00000;0;7.27665
3.50000;0.00000;0;11.20622
3.60000;0.00000;0;15.69442
3.70000;0.00000;0;20.76411
3.80000;0.00000;0;26.43712
3.90000;0.00000;0;32.73406
4.00000;0.00000;0;39.67412
4.10000;0.00000;0;47.27490
4.20000;0.00000;0;55.55215
4.30000;0.00000;0;64.51947
4.40000;0.00000;0;74.18809
4.50000;0.00000;0;84.56649
4.60000;0.00000;0;95.66011
4.70000;0.00000;0;107.47102
4.80000;0.00000;0;119.99755
4.90000;0.00000;0;133.23396
5.00000;0.00000;0;147.17004
0.10000;3.14159;180;18.97924
0.20000;3.14159;180;18.68070
0.30000;3.14159;180;18.18645
0.40000;3.14159;180;17.49532
0.50000;3.14159;180;16.60852
0.60000;3.14159;180;15.52994
0.70000;3.14159;180;14.26655
0.80000;3.14159;180;12.82861
0.90000;3.14159;180;11.22993
1.00000;3.14159;180;9.48798
1.10000;3.14159;180;7.62397
1.20000;3.14159;180;5.66279
1.30000;3.14159;180;3.63280
1.40000;3.14159;180;1.56560
1.50000;3.14159;180;-0.50437
1.60000;3.14159;180;-2.54029
1.70000;3.14159;180;-4.50349
1.80000;3.14159;180;-6.35402
1.90000;3.14159;180;-8.05129
2.00000;3.14159;180;-9.55461
2.10000;3.14159;180;-10.82384
2.20000;3.14159;180;-11.81983
2.30000;3.14159;180;-12.50493
2.40000;3.14159;180;-12.84331
2.50000;3.14159;180;-12.80123
2.60000;3.14159;180;-12.34720
2.70000;3.14159;180;-11.45201
2.80000;3.14159;180;-10.08864
2.90000;3.14159;180;-8.23217
3.00000;3.14159;180;-5.85951
3.10000;3.14159;180;-2.94913
3.20000;3.14159;180;0.51925
3.30000;3.14159;180;4.56502
3.40000;3.14159;180;9.20692
3.50000;3.14159;180;14.46343
3.60000;3.14159;180;20.35287
