"radius_mm";"angle_rad";"angle_degree";"Total-POWER_ [D]"
0.00000;;;44.64351
0.10000;0.00000;0;44.12473
0.20000;0.00000;0;44.15565
0.30000;0.00000;0;44.18050
0.40000;0.00000;0;44.19950
0.50000;0.00000;0;44.21309
0.60000;0.00000;0;44.22191
0.70000;0.00000;0;44.22676
0.80000;0.00000;0;44.22857
0.90000;0.00000;0;44.22836
1.00000;0.00000;0;44.22717
1.10000;0.00000;0;44.22603
1.20000;0.00000;0;44.22592
1.30000;0.00000;0;44.22770
1.40000;0.00000;0;44.23214
1.50000;0.00000;0;44.23984
1.60000;0.00000;0;44.25123
1.70000;0.00000;0;44.26657
1.80000;0.00000;0;44.28597
1.90000;0.00000;0;44.30934
2.00000;0.00000;0;44.33646
2.10000;0.00000;0;44.36699
2.20000;0.00000;0;44.40046
2.30000;0.00000;0;44.43636
2.40000;0.00000;0;44.47410
2.50000;0.00000;0;44.51309
2.60000;0.00000;0;44.55275
2.70000;0.00000;0;44.59251
2.80000;0.00000;0;44.63187
2.90000;0.00000;0;44.67039
3.00000;0.00000;0;44.70772
3.10000;0.00000;0;44.74356
3.20000;0.00000;0;44.77772
3.30000;0.00000;0;44.81011
3.40000;0.00000;0;44.84070
3.50000;0.00000;0;44.86954
3.60000;0.00000;0;44.89675
3.70000;0.00000;0;44.92252
3.80000;0.00000;0;44.94708
3.90000;0.00000;0;44.97072
4.00000;0.00000;0;44.99373
4.10000;0.00000;0;45.01647
4.20000;0.00000;0;45.03929
4.30000;0.00000;0;45.06252
4.40000;0.00000;0;45.08652
4.50000;0.00000;0;45.11161
4.60000;0.00000;0;45.13805
4.70000;0.00000;0;45.16604
4.80000;0.00000;0;45.19571
4.90000;0.00000;0;45.22702
5.00000;0.00000;0;45.25978
0.10000;3.14159;180;44.04510
0.20000;3.14159;180;43.99718
0.30000;3.14159;180;43.94479
0.40000;3.14159;180;43.88884
0.50000;3.14159;180;43.83043
0.60000;3.14159;180;43.77072
0.70000;3.14159;180;43.71092
0.80000;3.14159;180;43.65223
0.90000;3.14159;180;43.59578
1.00000;3.14159;180;43.54255
1.10000;3.14159;180;43.49341
1.20000;3.14159;180;43.44899
1.30000;3.14159;180;43.40974
1.40000;3.14159;180;43.37588
1.50000;3.14159;180;43.34740
1.60000;3.14159;180;43.32410
1.70000;3.14159;180;43.30558
1.80000;3.14159;180;43.29129
1.90000;3.14159;180;43.28054
2.00000;3.14159;180;43.27252
2.10000;3.14159;180;43.26636
2.20000;3.14159;180;43.26111
2.30000;3.14159;180;43.25578
2.40000;3.14159;180;43.24937
2.50000;3.14159;180;43.24086
2.60000;3.14159;180;43.22920
2.70000;3.14159;180;43.21338
2.80000;3.14159;180;43.19236
2.90000;3.14159;180;43.16515
3.00000;3.14159;180;43.13077
3.10000;3.14159;180;43.08830
3.20000;3.14159;180;43.03686
3.30000;3.14159;180;42.97568
3.40000;3.14159;180;42.90409
3.50000;3.14159;180;42.82158
3.60000;3.14159;180;42.72776
3.70000;3.14159;180;42.62247
3.80000;3.14159;180;42.50574
3.90000;3.14159;180;42.37785
4.00000;3.14159;180;42.23929
4.10000;3.14159;180;42.09082
4.20000;3.14159;180;41.93345
4.30000;3.14159;180;41.76840
4.40000;3.14159;180;41.59713
4.50000;3.14159;180;41.42125
4.60000;3.14159;180;41.24255
4.70000;3.14159;180;41.06292
4.80000;3.14159;180;40.88426
4.90000;3.14159;180;40.70848
5.00000;3.14159;180;40.53735
0.10000;0.01745;1;44.14998
0.20000;0.01745;1;44.17968
0.30000;0.01745;1;44.20310
0.40000;0.01745;1;44.22047
0.50000;0.01745;1;44.23223
0.60000;0.01745;1;44.23906
0.70000;0.01745;1;44.24180
0.80000;0.01745;1;44.24143
0.90000;0.01745;1;44.23899
1.00000;0.01745;1;44.23558
1.10000;0.01745;1;44.23226
