"radius_mm";"angle_rad";"angle_degree";"HEIGHT-ant_ [mm]"
0.00000;;;41.55731
0.10000;0.00000;0;41.55575
0.20000;0.00000;0;41.55285
0.30000;0.00000;0;41.54863
0.40000;0.00000;0;41.54307
0.50000;0.00000;0;41.53619
0.60000;0.00000;0;41.52800
0.70000;0.00000;0;41.51848
0.80000;0.00000;0;41.50764
0.90000;0.00000;0;41.49548
1.00000;0.00000;0;41.48201
1.10000;0.00000;0;41.46721
1.20000;0.00000;0;41.45110
1.30000;0.00000;0;41.43367
1.40000;0.00000;0;41.41491
1.50000;0.00000;0;41.39483
1.60000;0.00000;0;41.37342
1.70000;0.00000;0;41.35068
1.80000;0.00000;0;41.32660
1.90000;0.00000;0;41.30118
2.00000;0.00000;0;41.27442
2.10000;0.00000;0;41.24631
2.20000;0.00000;0;41.21685
2.30000;0.00000;0;41.18602
2.40000;0.00000;0;41.15384
2.50000;0.00000;0;41.12028
2.60000;0.00000;0;41.08534
2.70000;0.00000;0;41.04903
2.80000;0.00000;0;41.01133
2.90000;0.00000;0;40.97225
3.00000;0.00000;0;40.93176
3.10000;0.00000;0;40.88989
3.20000;0.00000;0;40.84661
3.30000;0.00000;0;40.80192
3.40000;0.00000;0;40.75582
3.50000;0.00000;0;40.70832
3.60000;0.00000;0;40.65939
3.70000;0.00000;0;40.60905
3.80000;0.00000;0;40.55728
3.90000;0.00000;0;40.50407
4.00000;0.00000;0;40.44943
4.10000;0.00000;0;40.39334
4.20000;0.00000;0;40.33579
4.30000;0.00000;0;40.27676
4.40000;0.00000;0;40.21624
4.50000;0.00000;0;40.15420
4.60000;0.00000;0;40.09061
4.70000;0.00000;0;40.02544
4.80000;0.00000;0;39.95865
4.90000;0.00000;0;39.89018
5.00000;0.00000;0;39.81998
0.10000;3.14159;180;41.55754
0.20000;3.14159;180;41.55643
0.30000;3.14159;180;41.55397
0.40000;3.14159;180;41.55016
0.50000;3.14159;180;41.54500
0.60000;3.14159;180;41.53848
0.70000;3.14159;180;41.53060
0.80000;3.14159;180;41.52135
0.90000;3.14159;180;41.51073
1.00000;3.14159;180;41.49873
1.10000;3.14159;180;41.48534
1.20000;3.14159;180;41.47057
1.30000;3.14159;180;41.45439
1.40000;3.14159;180;41.43681
1.50000;3.14159;180;41.41782
1.60000;3.14159;180;41.39742
