"radius_mm";"angle_rad";"angle_degree";"Axial-CURV-post_ [D]"
0.00000;;;-6.31706
0.10000;0.00000;0;-6.21603
0.20000;0.00000;0;-6.16131
0.30000;0.00000;0;-6.13686
0.40000;0.00000;0;-6.11909
0.50000;0.00000;0;-6.10332
0.60000;0.00000;0;-6.08795
0.70000;0.00000;0;-6.07227
0.80000;0.00000;0;-6.05587
0.90000;0.00000;0;-6.03846
1.00000;0.00000;0;-6.01984
1.10000;0.00000;0;-5.99985
1.20000;0.00000;0;-5.97843
1.30000;0.00000;0;-5.95557
1.40000;0.00000;0;-5.93138
1.50000;0.00000;0;-5.90606
1.60000;0.00000;0;-5.87988
1.70000;0.00000;0;-5.85325
1.80000;0.00000;0;-5.82660
1.90000;0.00000;0;-5.80040
2.00000;0.00000;0;-5.77509
2.10000;0.00000;0;-5.75110
2.20000;0.00000;0;-5.72873
2.30000;0.00000;0;-5.70822
2.40000;0.00000;0;-5.68972
2.50000;0.00000;0;-5.67328
2.60000;0.00000;0;-5.65891
2.70000;0.00000;0;-5.64654
2.80000;0.00000;0;-5.63610
2.90000;0.00000;0;-5.62750
3.00000;0.00000;0;-5.62061
3.10000;0.00000;0;-5.61533
3.20000;0.00000;0;-5.61156
3.30000;0.00000;0;-5.60918
3.40000;0.00000;0;-5.60809
3.50000;0.00000;0;-5.60819
3.60000;0.00000;0;-5.60939
3.70000;0.00000;0;-5.61159
3.80000;0.00000;0;-5.61473
3.90000;0.00000;0;-5.61871
4.00000;0.00000;0;-5.62347
4.10000;0.00000;0;-5.62894
4.20000;0.00000;0;-5.63508
4.30000;0.00000;0;-5.64184
4.40000;0.00000;0;-5.64918
4.50000;0.00000;0;-5.65706
4.60000;0.00000;0;-5.66546
4.70000;0.00000;0;-5.67434
4.80000;0.00000;0;-5.68369
4.90000;0.00000;0;-5.69348
5.00000;0.00000;0;-5.70368
0.10000;3.14159;180;-6.22703
0.20000;3.14159;180;-6.18329
0.30000;3.14159;180;-6.16982
0.40000;3.14159;180;-6.16309
0.50000;3.14159;180;-6.15852
0.60000;3.14159;180;-6.15467
0.70000;3.14159;180;-6.15100
0.80000;3.14159;180;-6.14727
0.90000;3.14159;180;-6.14335
1.00000;3.14159;180;-6.13913
1.10000;3.14159;180;-6.13452
1.20000;3.14159;180;-6.12942
1.30000;3.14159;180;-6.12374
1.40000;3.14159;180;-6.11740
1.50000;3.14159;180;-6.11034
1.60000;3.14159;180;-6.10253
1.70000;3.14159;180;-6.09400
1.80000;3.14159;180;-6.08481
1.90000;3.14159;180;-6.07507
2.00000;3.14159;180;-6.06492
2.10000;3.14159;180;-6.05453
2.20000;3.14159;180;-6.04405
2.30000;3.14159;180;-6.03366
2.40000;3.14159;180;-6.02350
2.50000;3.14159;180;-6.01367
2.60000;3.14159;180;-6.00427
2.70000;3.14159;180;-5.99535
2.80000;3.14159;180;-5.98695
2.90000;3.14159;180;-5.97909
3.00000;3.14159;180;-5.97178
3.10000;3.14159;180;-5.96501
3.20000;3.14159;180;-5.95878
3.30000;3.14159;180;-5.95307
3.40000;3.14159;180;-5.94786
3.50000;3.14159;180;-5.94313
3.60000;3.14159;180;-5.93886
3.70000;3.14159;180;-5.93500
3.80000;3.14159;180;-5.93154
3.90000;3.14159;180;-5.92844
4.00000;3.14159;180;-5.92565
4.10000;3.14159;180;-5.92316
4.20000;3.14159;180;-5.92093
4.30000;3.14159;180;-5.91895
4.40000;3.14159;180;-5.91719
4.50000;3.14159;180;-5.91564
4.60000;3.14159;180;-5.91432
4.70000;3.14159;180;-5.91321
4.80000;3.14159;180;-5.91233
4.90000;3.14159;180;-5.91168
5.00000;3.14159;180;-5.91128
0.10000;0.01745;1;-6.21996
0.20000;0.01745;1;-6.16702
0.30000;0.01745;1;-6.14287
0.40000;0.01745;1;-6.12497
0.50000;0.01745;1;-6.10883
0.60000;0.01745;1;-6.09296
0.70000;0.01745;1;-6.07666
0.80000;0.01745;1;-6.05954
0.90000;0.01745;1;-6.04133
1.00000;0.01745;1;-6.02185
1.10000;0.01745;1;-6.00096
1.20000;0.01745;1;-5.97860
1.30000;0.01745;1;-5.95479
1.40000;0.01745;1;-5.92965
1.50000;0.01745;1;-5.90339
1.60000;0.01745;1;-5.87631
1.70000;0.01745;1;-5.84881
1.80000;0.01745;1;-5.82134
1.90000;0.01745;1;-5.79439
2.00000;0.01745;1;-5.76840
2.10000;0.01745;1;-5.74380
2.20000;0.01745;1;-5.72091
2.30000;0.01745;1;-5.69996
2.40000;0.01745;1;-5.68109
2.50000;0.01745;1;-5.66436
2.60000;0.01745;1;-5.64977
2.70000;0.01745;1;-5.63725
2.80000;0.01745;1;-5.62672
2.90000;0.01745;1;-5.61807
3.00000;0.01745;1;-5.61120
3.10000;0.01745;1;-5.60598
3.20000;0.01745;1;-5.60230
3.30000;0.01745;1;-5.60005
3.40000;0.01745;1;-5.59912
3.50000;0.01745;1;-5.59941
3.60000;0.01745;1;-5.60081
3.70000;0.01745;1;-5.60325
3.80000;0.01745;1;-5.60662
3.90000;0.01745;1;-5.61086
4.00000;0.01745;1;-5.61589
4.10000;0.01745;1;-5.62164
4.20000;0.01745;1;-5.62806
4.30000;0.01745;1;-5.63511
4.40000;0.01745;1;-5.64273
4.50000;0.01745;1;-5.65091
4.60000;0.01745;1;-5.65960
4.70000;0.01745;1;-5.66878
4.80000;0.01745;1;-5.67843
4.90000;0.01745;1;-5.68851
5.00000;0.01745;1;-5.69900
0.10000;3.15905;181;-6.23133
0.20000;3.15905;181;-6.18976
0.30000;3.15905;181;-6.17699
0.40000;3.15905;181;-6.17055
0.50000;3.15905;181;-6.16608
0.60000;3.15905;181;-6.16220
0.70000;3.15905;181;-6.15842
0.80000;3.15905;181;-6.15451
0.90000;3.15905;181;-6.15036
1.00000;3.15905;181;-6.14586
1.10000;3.15905;181;-6.14094
1.20000;3.15905;181;-6.13550
1.30000;3.15905;181;-6.12947
1.40000;3.15905;181;-6.12276
1.50000;3.15905;181;-6.11533
1.60000;3.15905;181;-6.10716
1.70000;3.15905;181;-6.09829
1.80000;3.15905;181;-6.08877
1.90000;3.15905;181;-6.07873
2.00000;3.15905;181;-6.06830
2.10000;3.15905;181;-6.05765
2.20000;3.15905;181;-6.04695
2.30000;3.15905;181;-6.03637
2.40000;3.15905;181;-6.02603
2.50000;3.15905;181;-6.01606
2.60000;3.15905;181;-6.00654
2.70000;3.15905;181;-5.99752
2.80000;3.15905;181;-5.98905
2.90000;3.15905;181;-5.98113
3.00000;3.15905;181;-5.97378
3.10000;3.15905;181;-5.96699
3.20000;3.15905;181;-5.96074
3.30000;3.15905;181;-5.95502
3.40000;3.15905;181;-5.94982
3.50000;3.15905;181;-5.94510
3.60000;3.15905;181;-5.94083
3.70000;3.15905;181;-5.93699
3.80000;3.15905;181;-5.93354
3.90000;3.15905;181;-5.93045
4.00000;3.15905;181;-5.92768
4.10000;3.15905;181;-5.92519
4.20000;3.15905;181;-5.92297
4.30000;3.15905;181;-5.92098
4.40000;3.15905;181;-5.91922
4.50000;3.15905;181;-5.91767
4.60000;3.15905;181;-5.91633
4.70000;3.15905;181;-5.91521
4.80000;3.15905;181;-5.91431
4.90000;3.15905;181;-5.91364
5.00000;3.15905;181;-5.91321
0.10000;0.03491;2;-6.22398
0.20000;0.03491;2;-6.17284
0.30000;0.03491;2;-6.14897
0.40000;0.03491;2;-6.13091
0.50000;0.03491;2;-6.11438
0.60000;0.03491;2;-6.09796
0.70000;0.03491;2;-6.08099
0.80000;0.03491;2;-6.06311
0.90000;0.03491;2;-6.04407
1.00000;0.03491;2;-6.02370
1.10000;0.03491;2;-6.00188
1.20000;0.03491;2;-5.97857
1.30000;0.03491;2;-5.95380
1.40000;0.03491;2;-5.92770
1.50000;0.03491;2;-5.90051
1.60000;0.03491;2;-5.87254
1.70000;0.03491;2;-5.84420
1.80000;0.03491;2;-5.81595
1.90000;0.03491;2;-5.78827
2.00000;0.03491;2;-5.76164
2.10000;0.03491;2;-5.73647
2.20000;0.03491;2;-5.71309
2.30000;0.03491;2;-5.69172
2.40000;0.03491;2;-5.67252
2.50000;0.03491;2;-5.65552
2.60000;0.03491;2;-5.64072
2.70000;0.03491;2;-5.62807
2.80000;0.03491;2;-5.61746
2.90000;0.03491;2;-5.60878
3.00000;0.03491;2;-5.60193
3.10000;0.03491;2;-5.59677
3.20000;0.03491;2;-5.59318
3.30000;0.03491;2;-5.59106
3.40000;0.03491;2;-5.59028
3.50000;0.03491;2;-5.59075
3.60000;0.03491;2;-5.59236
3.70000;0.03491;2;-5.59502
3.80000;0.03491;2;-5.59863
3.90000;0.03491;2;-5.60311
4.00000;0.03491;2;-5.60840
4.10000;0.03491;2;-5.61442
4.20000;0.03491;2;-5.62111
4.30000;0.03491;2;-5.62844
4.40000;0.03491;2;-5.63635
4.50000;0.03491;2;-5.64481
4.60000;0.03491;2;-5.65380
4.70000;0.03491;2;-5.66327
4.80000;0.03491;2;-5.67321
4.90000;0.03491;2;-5.68358
5.00000;0.03491;2;-5.69436
0.10000;3.17650;182;-6.23577
0.20000;3.17650;182;-6.19642
0.30000;3.17650;182;-6.18438
0.40000;3.17650;182;-6.17824
0.50000;3.17650;182;-6.17385
0.60000;3.17650;182;-6.16994
0.70000;3.17650;182;-6.16603
0.80000;3.17650;182;-6.16193
0.90000;3.17650;182;-6.15751
1.00000;3.17650;182;-6.15272
1.10000;3.17650;182;-6.14747
1.20000;3.17650;182;-6.14168
1.30000;3.17650;182;-6.13527
1.40000;3.17650;182;-6.12819
1.50000;3.17650;182;-6.12039
1.60000;3.17650;182;-6.11186
1.70000;3.17650;182;-6.10264
1.80000;3.17650;182;-6.09281
1.90000;3.17650;182;-6.08247
2.00000;3.17650;182;-6.07177
2.10000;3.17650;182;-6.06088
2.20000;3.17650;182;-6.04997
2.30000;3.17650;182;-6.03921
2.40000;3.17650;182;-6.02871
2.50000;3.17650;182;-6.01861
2.60000;3.17650;182;-6.00898
2.70000;3.17650;182;-5.99987
2.80000;3.17650;182;-5.99133
2.90000;3.17650;182;-5.98335
3.00000;3.17650;182;-5.97596
3.10000;3.17650;182;-5.96914
3.20000;3.17650;182;-5.96287
3.30000;3.17650;182;-5.95715
3.40000;3.17650;182;-5.95194
3.50000;3.17650;182;-5.94722
3.60000;3.17650;182;-5.94295
3.70000;3.17650;182;-5.93911
3.80000;3.17650;182;-5.93566
3.90000;3.17650;182;-5.93257
4.00000;3.17650;182;-5.92979
4.10000;3.17650;182;-5.92730
4.20000;3.17650;182;-5.92507
4.30000;3.17650;182;-5.92307
4.40000;3.17650;182;-5.92130
4.50000;3.17650;182;-5.91973
4.60000;3.17650;182;-5.91837
4.70000;3.17650;182;-5.91723
4.80000;3.17650;182;-5.91630
4.90000;3.17650;182;-5.91560
5.00000;3.17650;182;-5.91513
0.10000;0.05236;3;-6.22807
0.20000;0.05236;3;-6.17876
0.30000;0.05236;3;-6.15516
0.40000;0.05236;3;-6.13690
0.50000;0.05236;3;-6.11994
0.60000;0.05236;3;-6.10293
0.70000;0.05236;3;-6.08526
0.80000;0.05236;3;-6.06658
0.90000;0.05236;3;-6.04667
1.00000;0.05236;3;-6.02538
1.10000;0.05236;3;-6.00260
1.20000;0.05236;3;-5.97832
1.30000;0.05236;3;-5.95259
1.40000;0.05236;3;-5.92554
1.50000;0.05236;3;-5.89743
1.60000;0.05236;3;-5.86858
1.70000;0.05236;3;-5.83942
1.80000;0.05236;3;-5.81042
1.90000;0.05236;3;-5.78206
2.00000;0.05236;3;-5.75482
2.10000;0.05236;3;-5.72911
2.20000;0.05236;3;-5.70526
2.30000;0.05236;3;-5.68351
2.40000;0.05236;3;-5.66399
2.50000;0.05236;3;-5.64675
2.60000;0.05236;3;-5.63177
2.70000;0.05236;3;-5.61899
2.80000;0.05236;3;-5.60831
2.90000;0.05236;3;-5.59962
3.00000;0.05236;3;-5.59279
3.10000;0.05236;3;-5.58769
3.20000;0.05236;3;-5.58420
3.30000;0.05236;3;-5.58221
3.40000;0.05236;3;-5.58158
3.50000;0.05236;3;-5.58223
3.60000;0.05236;3;-5.58403
3.70000;0.05236;3;-5.58690
3.80000;0.05236;3;-5.59074
3.90000;0.05236;3;-5.59547
4.00000;0.05236;3;-5.60100
4.10000;0.05236;3;-5.60728
4.20000;0.05236;3;-5.61425
4.30000;0.05236;3;-5.62184
4.40000;0.05236;3;-5.63003
4.50000;0.05236;3;-5.63878
4.60000;0.05236;3;-5.64805
4.70000;0.05236;3;-5.65781
4.80000;0.05236;3;-5.66803
4.90000;0.05236;3;-5.67869
5.00000;0.05236;3;-5.68975
0.10000;3.19395;183;-6.24032
0.20000;3.19395;183;-6.20327
0.30000;3.19395;183;-6.19197
0.40000;3.19395;183;-6.18614
0.50000;3.19395;183;-6.18184
0.60000;3.19395;183;-6.17789
0.70000;3.19395;183;-6.17383
0.80000;3.19395;183;-6.16951
0.90000;3.19395;183;-6.16482
