"radius_mm";"angle_rad";"angle_degree";"HEIGHT-post_ [mm]"
0.00000;;;41.84521
0.10000;0.00000;0;41.84468
0.20000;0.00000;0;41.84249
0.30000;0.00000;0;41.83862
0.40000;0.00000;0;41.83306
0.50000;0.00000;0;41.82582
0.60000;0.00000;0;41.81689
0.70000;0.00000;0;41.80629
0.80000;0.00000;0;41.79403
0.90000;0.00000;0;41.78015
1.00000;0.00000;0;41.76468
1.10000;0.00000;0;41.74763
1.20000;0.00000;0;41.72904
1.30000;0.00000;0;41.70893
1.40000;0.00000;0;41.68733
1.50000;0.00000;0;41.66426
1.60000;0.00000;0;41.63971
1.70000;0.00000;0;41.61371
1.80000;0.00000;0;41.58623
1.90000;0.00000;0;41.55728
2.00000;0.00000;0;41.52682
2.10000;0.00000;0;41.49484
2.20000;0.00000;0;41.46130
2.30000;0.00000;0;41.42616
2.40000;0.00000;0;41.38938
2.50000;0.00000;0;41.35092
2.60000;0.00000;0;41.31073
2.70000;0.00000;0;41.26876
2.80000;0.00000;0;41.22496
2.90000;0.00000;0;41.17928
3.00000;0.00000;0;41.13166
3.10000;0.00000;0;41.08206
3.20000;0.00000;0;41.03041
3.30000;0.00000;0;40.97665
3.40000;0.00000;0;40.92072
3.50000;0.00000;0;40.86255
3.60000;0.00000;0;40.80207
3.70000;0.00000;0;40.73919
3.80000;0.00000;0;40.67382
3.90000;0.00000;0;40.60586
4.00000;0.00000;0;40.53520
4.10000;0.00000;0;40.46170
4.20000;0.00000;0;40.38523
4.30000;0.00000;0;40.30563
4.40000;0.00000;0;40.22270
4.50000;0.00000;0;40.13625
4.60000;0.00000;0;40.04604
4.70000;0.00000;0;39.95181
4.80000;0.00000;0;39.85324
4.90000;0.00000;0;39.74998
5.00000;0.00000;0;39.64162
0.10000;3.14159;180;41.84411
0.20000;3.14159;180;41.84139
0.30000;3.14159;180;41.83709
0.40000;3.14159;180;41.83124
0.50000;3.14159;180;41.82388
0.60000;3.14159;180;41.81504
0.70000;3.14159;180;41.80473
0.80000;3.14159;180;41.79298
0.90000;3.14159;180;41.77981
1.00000;3.14159;180;41.76523
1.10000;3.14159;180;41.74922
1.20000;3.14159;180;41.73179
1.30000;3.14159;180;41.71293
1.40000;3.14159;180;41.69261
1.50000;3.14159;180;41.67081
1.60000;3.14159;180;41.64750
1.70000;3.14159;180;41.62267
1.80000;3.14159;180;41.59628
1.90000;3.14159;180;41.56830
2.00000;3.14159;180;41.53871
2.10000;3.14159;180;41.50749
2.20000;3.14159;180;41.47462
2.30000;3.14159;180;41.44008
2.40000;3.14159;180;41.40385
2.50000;3.14159;180;41.36593
2.60000;3.14159;180;41.32630
2.70000;3.14159;180;41.28494
2.80000;3.14159;180;41.24186
2.90000;3.14159;180;41.19702
3.00000;3.14159;180;41.15041
3.10000;3.14159;180;41.10200
3.20000;3.14159;180;41.05176
3.30000;3.14159;180;40.99965
3.40000;3.14159;180;40.94562
3.50000;3.14159;180;40.88960
3.60000;3.14159;180;40.83153
3.70000;3.14159;180;40.77131
3.80000;3.14159;180;40.70886
3.90000;3.14159;180;40.64406
4.00000;3.14159;180;40.57680
4.10000;3.14159;180;40.50692
4.20000;3.14159;180;40.43428
4.30000;3.14159;180;40.35871
4.40000;3.14159;180;40.28002
4.50000;3.14159;180;40.19799
4.60000;3.14159;180;40.11239
4.70000;3.14159;180;40.02294
4.80000;3.14159;180;39.92934
4.90000;3.14159;180;39.83125
5.00000;3.14159;180;39.72825
0.10000;0.01745;1;41.84456
0.20000;0.01745;1;41.84224
0.30000;0.01745;1;41.83823
0.40000;0.01745;1;41.83254
0.50000;0.01745;1;41.82516
0.60000;0.01745;1;41.81610
0.70000;0.01745;1;41.80538
0.80000;0.01745;1;41.79301
0.90000;0.01745;1;41.77902
1.00000;0.01745;1;41.76344
1.10000;0.01745;1;41.74631
1.20000;0.01745;1;41.72764
1.30000;0.01745;1;41.70748
1.40000;0.01745;1;41.68583
1.50000;0.01745;1;41.66272
1.60000;0.01745;1;41.63816
1.70000;0.01745;1;41.61215
1.80000;0.01745;1;41.58469
1.90000;0.01745;1;41.55575
2.00000;0.01745;1;41.52533
2.10000;0.01745;1;41.49340
2.20000;0.01745;1;41.45992
2.30000;0.01745;1;41.42485
2.40000;0.01745;1;41.38816
2.50000;0.01745;1;41.34979
