"radius_mm";"angle_rad";"angle_degree";"Post. Elevation BFS_[um]"
0.00000;;;-2.48070
0.10000;0.00000;0;-2.06773
0.20000;0.00000;0;-1.65880
0.30000;0.00000;0;-1.25663
0.40000;0.00000;0;-0.86063
0.50000;0.00000;0;-0.46726
0.60000;0.00000;0;-0.07062
0.70000;0.00000;0;0.33670
0.80000;0.00000;0;0.76277
0.90000;0.00000;0;1.21527
1.00000;0.00000;0;1.70063
1.10000;0.00000;0;2.22320
1.20000;0.00000;0;2.78465
1.30000;0.00000;0;3.38364
1.40000;0.00000;0;4.01577
1.50000;0.00000;0;4.67385
1.60000;0.00000;0;5.34845
1.70000;0.00000;0;6.02879
1.80000;0.00000;0;6.70371
1.90000;0.00000;0;7.36292
2.00000;0.00000;0;7.99825
2.10000;0.00000;0;8.60484
2.20000;0.00000;0;9.18228
2.30000;0.00000;0;9.73550
2.40000;0.00000;0;10.27542
2.50000;0.00000;0;10.81923
2.60000;0.00000;0;11.39039
2.70000;0.00000;0;12.01818
2.80000;0.00000;0;12.73695
2.90000;0.00000;0;13.58503
3.00000;0.00000;0;14.60338
3.10000;0.00000;0;15.83406
3.20000;0.00000;0;17.31852
3.30000;0.00000;0;19.09596
3.40000;0.00000;0;21.20172
3.50000;0.00000;0;23.66571
3.60000;0.00000;0;26.51121
3.70000;0.00000;0;29.75384
3.80000;0.00000;0;33.40079
3.90000;0.00000;0;37.45045
4.00000;0.00000;0;41.89227
4.10000;0.00000;0;46.70693
4.20000;0.00000;0;51.86668
4.30000;0.00000;0;57.33586
4.40000;0.00000;0;63.07147
4.50000;0.00000;0;69.02376
4.60000;0.00000;0;75.13658
4.70000;0.00000;0;81.34764
4.80000;0.00000;0;87.58843
4.90000;0.00000;0;93.78372
5.00000;0.00000;0;99.85073
0.10000;3.14159;180;-2.89162
0.20000;3.14159;180;-3.29122
0.30000;3.14159;180;-3.66759
0.40000;3.14159;180;-4.00684
0.50000;3.14159;180;-4.29403
0.60000;3.14159;180;-4.51418
0.70000;3.14159;180;-4.65325
0.80000;3.14159;180;-4.69918
0.90000;3.14159;180;-4.64263
1.00000;3.14159;180;-4.47768
1.10000;3.14159;180;-4.20219
1.20000;3.14159;180;-3.81794
1.30000;3.14159;180;-3.33046
1.40000;3.14159;180;-2.74865
1.50000;3.14159;180;-2.08410
1.60000;3.14159;180;-1.35033
1.70000;3.14159;180;-0.56187
1.80000;3.14159;180;0.26670
1.90000;3.14159;180;1.12169
2.00000;3.14159;180;1.99110
2.10000;3.14159;180;2.86536
2.20000;3.14159;180;3.73787
2.30000;3.14159;180;4.60528
2.40000;3.14159;180;5.46765
2.50000;3.14159;180;6.32838
2.60000;3.14159;180;7.19401
2.70000;3.14159;180;8.07379
2.80000;3.14159;180;8.97922
2.90000;3.14159;180;9.92354
3.00000;3.14159;180;10.92112
3.10000;3.14159;180;11.98691
3.20000;3.14159;180;13.13588
3.30000;3.14159;180;14.38252
3.40000;3.14159;180;15.74042
3.50000;3.14159;180;17.22180
3.60000;3.14159;180;18.83725
3.70000;3.14159;180;20.59538
3.80000;3.14159;180;22.50258
3.90000;3.14159;180;24.56282
4.00000;3.14159;180;26.77745
4.10000;3.14159;180;29.14506
4.20000;3.14159;180;31.66127
4.30000;3.14159;180;34.31868
4.40000;3.14159;180;37.10668
4.50000;3.14159;180;40.01135
4.60000;3.14159;180;43.01530
4.70000;3.14159;180;46.09753
4.80000;3.14159;180;49.23316
4.90000;3.14159;180;52.39319
5.00000;3.14159;180;55.54410
0.10000;0.01745;1;-2.07474
0.20000;0.01745;1;-1.67315
0.30000;0.01745;1;-1.27863
0.40000;0.01745;1;-0.89058
0.50000;0.01745;1;-0.50536
0.60000;0.01745;1;-0.11692
0.70000;0.01745;1;0.28236
0.80000;0.01745;1;0.70080
0.90000;0.01745;1;1.14639
1.00000;0.01745;1;1.62590
1.10000;0.01745;1;2.14407
1.20000;0.01745;1;2.70300
1.30000;0.01745;1;3.30181
1.40000;0.01745;1;3.93656
1.50000;0.01745;1;4.60057
1.60000;0.01745;1;5.28493
1.70000;0.01745;1;5.97932
1.80000;0.01745;1;6.67309
1.90000;0.01745;1;7.35641
2.00000;0.01745;1;8.02149
2.10000;0.01745;1;8.66385
2.20000;0.01745;1;9.28333
2.30000;0.01745;1;9.88505
2.40000;0.01745;1;10.47999
2.50000;0.01745;1;11.08533
2.60000;0.01745;1;11.72437
2.70000;0.01745;1;12.42611
2.80000;0.01745;1;13.22450
2.90000;0.01745;1;14.15738
3.00000;0.01745;1;15.26510
3.10000;0.01745;1;16.58902
3.20000;0.01745;1;18.16985
3.30000;0.01745;1;20.04601
3.40000;0.01745;1;22.25198
3.50000;0.01745;1;24.81690
3.60000;0.01745;1;27.76327
3.70000;0.01745;1;31.10594
3.80000;0.01745;1;34.85144
3.90000;0.01745;1;38.99755
4.00000;0.01745;1;43.53316
4.10000;0.01745;1;48.43851
4.20000;0.01745;1;53.68543
4.30000;0.01745;1;59.23794
4.40000;0.01745;1;65.05276
4.50000;0.01745;1;71.07987
4.60000;0.01745;1;77.26287
4.70000;0.01745;1;83.53925
4.80000;0.01745;1;89.84019
4.90000;0.01745;1;96.09016
5.00000;0.01745;1;102.20599
0.10000;3.15905;181;-2.88484
0.20000;3.15905;181;-3.27778
0.30000;3.15905;181;-3.64741
0.40000;3.15905;181;-3.97964
0.50000;3.15905;181;-4.25928
0.60000;3.15905;181;-4.47107
0.70000;3.15905;181;-4.60073
0.80000;3.15905;181;-4.63589
0.90000;3.15905;181;-4.56698
1.00000;3.15905;181;-4.38785
1.10000;3.15905;181;-4.09619
1.20000;3.15905;181;-3.69365
1.30000;3.15905;181;-3.18571
1.40000;3.15905;181;-2.58126
1.50000;3.15905;181;-1.89197
1.60000;3.15905;181;-1.13152
1.70000;3.15905;181;-0.31462
1.80000;3.15905;181;0.54388
1.90000;3.15905;181;1.42997
2.00000;3.15905;181;2.33133
2.10000;3.15905;181;3.23803
2.20000;3.15905;181;4.14306
2.30000;3.15905;181;5.04273
2.40000;3.15905;181;5.93672
2.50000;3.15905;181;6.82811
2.60000;3.15905;181;7.72310
2.70000;3.15905;181;8.63065
2.80000;3.15905;181;9.56200
2.90000;3.15905;181;10.53014
3.00000;3.15905;181;11.54919
3.10000;3.15905;181;12.63386
3.20000;3.15905;181;13.79889
3.30000;3.15905;181;15.05852
3.40000;3.15905;181;16.42606
3.50000;3.15905;181;17.91346
3.60000;3.15905;181;19.53100
3.70000;3.15905;181;21.28699
3.80000;3.15905;181;23.18752
3.90000;3.15905;181;25.23628
4.00000;3.15905;181;27.43438
4.10000;3.15905;181;29.78017
4.20000;3.15905;181;32.26918
4.30000;3.15905;181;34.89396
4.40000;3.15905;181;37.64395
4.50000;3.15905;181;40.50542
4.60000;3.15905;181;43.46127
4.70000;3.15905;181;46.49090
4.80000;3.15905;181;49.56998
4.90000;3.15905;181;52.67013
5.00000;3.15905;181;55.75851
0.10000;0.03491;2;-2.08188
0.20000;0.03491;2;-1.68770
0.30000;0.03491;2;-1.30094
0.40000;0.03491;2;-0.92093
0.50000;0.03491;2;-0.54395
0.60000;0.03491;2;-0.16382
0.70000;0.03491;2;0.22729
0.80000;0.03491;2;0.63791
0.90000;0.03491;2;1.07634
1.00000;0.03491;2;1.54969
1.10000;0.03491;2;2.06306
1.20000;0.03491;2;2.61897
1.30000;0.03491;2;3.21699
