"radius_mm";"angle_rad";"angle_degree";"Ant. Elevation BFA_[um]"
0.00000;;;0.00000
0.10000;0.00000;0;0.29894
0.20000;0.00000;0;0.59784
0.30000;0.00000;0;0.89575
0.40000;0.00000;0;1.19173
0.50000;0.00000;0;1.48488
0.60000;0.00000;0;1.77432
0.70000;0.00000;0;2.05918
0.80000;0.00000;0;2.33861
0.90000;0.00000;0;2.61175
1.00000;0.00000;0;2.87775
1.10000;0.00000;0;3.13576
1.20000;0.00000;0;3.38491
1.30000;0.00000;0;3.62432
1.40000;0.00000;0;3.85309
1.50000;0.00000;0;4.07030
1.60000;0.00000;0;4.27501
1.70000;0.00000;0;4.46623
1.80000;0.00000;0;4.64296
1.90000;0.00000;0;4.80414
2.00000;0.00000;0;4.94868
2.10000;0.00000;0;5.07543
2.20000;0.00000;0;5.18321
2.30000;0.00000;0;5.27076
2.40000;0.00000;0;5.33680
2.50000;0.00000;0;5.37995
2.60000;0.00000;0;5.39879
2.70000;0.00000;0;5.39182
2.80000;0.00000;0;5.35750
2.90000;0.00000;0;5.29417
3.00000;0.00000;0;5.20014
3.10000;0.00000;0;5.07361
3.20000;0.00000;0;4.91272
3.30000;0.00000;0;4.71552
3.40000;0.00000;0;4.47997
3.50000;0.00000;0;4.20394
3.60000;0.00000;0;3.88523
3.70000;0.00000;0;3.52152
3.80000;0.00000;0;3.11042
3.90000;0.00000;0;2.64944
4.00000;0.00000;0;2.13597
4.10000;0.00000;0;1.56734
4.20000;0.00000;0;0.94074
4.30000;0.00000;0;0.25329
4.40000;0.00000;0;-0.49801
4.50000;0.00000;0;-1.31627
4.60000;0.00000;0;-2.20468
4.70000;0.00000;0;-3.16657
4.80000;0.00000;0;-4.20536
4.90000;0.00000;0;-5.32457
5.00000;0.00000;0;-6.52785
0.10000;3.14159;180;-0.29799
0.20000;3.14159;180;-0.59398
0.30000;3.14159;180;-0.88689
0.40000;3.14159;180;-1.17559
0.50000;3.14159;180;-1.45888
0.60000;3.14159;180;-1.73549
0.70000;3.14159;180;-2.00409
0.80000;3.14159;180;-2.26327
0.90000;3.14159;180;-2.51153
1.00000;3.14159;180;-2.74728
1.10000;3.14159;180;-2.96885
1.20000;3.14159;180;-3.17444
1.30000;3.14159;180;-3.36216
1.40000;3.14159;180;-3.53000
1.50000;3.14159;180;-3.67581
1.60000;3.14159;180;-3.79733
1.70000;3.14159;180;-3.89214
1.80000;3.14159;180;-3.95770
1.90000;3.14159;180;-3.99130
2.00000;3.14159;180;-3.99007
2.10000;3.14159;180;-3.95098
2.20000;3.14159;180;-3.87083
2.30000;3.14159;180;-3.74620
2.40000;3.14159;180;-3.57353
2.50000;3.14159;180;-3.34903
2.60000;3.14159;180;-3.06870
2.70000;3.14159;180;-2.72835
2.80000;3.14159;180;-2.32354
2.90000;3.14159;180;-1.84961
3.00000;3.14159;180;-1.30165
3.10000;3.14159;180;-0.67453
3.20000;3.14159;180;0.03719
3.30000;3.14159;180;0.83916
3.40000;3.14159;180;1.73734
3.50000;3.14159;180;2.73797
3.60000;3.14159;180;3.84758
3.70000;3.14159;180;5.07300
3.80000;3.14159;180;6.42138
3.90000;3.14159;180;7.90019
4.00000;3.14159;180;9.51722
4.10000;3.14159;180;11.28061
4.20000;3.14159;180;13.19885
4.30000;3.14159;180;15.28081
4.40000;3.14159;180;17.53568
4.50000;3.14159;180;19.97309
4.60000;3.14159;180;22.60301
4.70000;3.14159;180;25.43585
4.80000;3.14159;180;28.48241
4.90000;3.14159;180;31.75391
