"radius_mm";"angle_rad";"angle_degree";"Axial-CURV-post_ [D]"
0.00000;;;-12.87311
0.10000;0.00000;0;-12.66694
0.20000;0.00000;0;-12.41173
0.30000;0.00000;0;-12.09675
0.40000;0.00000;0;-11.73192
0.50000;0.00000;0;-11.32901
0.60000;0.00000;0;-10.90085
0.70000;0.00000;0;-10.46055
0.80000;0.00000;0;-10.02087
0.90000;0.00000;0;-9.59365
1.00000;0.00000;0;-9.18936
1.10000;0.00000;0;-8.81675
1.20000;0.00000;0;-8.48253
1.30000;0.00000;0;-8.19122
1.40000;0.00000;0;-7.94498
1.50000;0.00000;0;-7.74363
1.60000;0.00000;0;-7.58471
1.70000;0.00000;0;-7.46378
1.80000;0.00000;0;-7.37472
1.90000;0.00000;0;-7.31024
2.00000;0.00000;0;-7.26242
2.10000;0.00000;0;-7.22330
2.20000;0.00000;0;-7.18538
2.30000;0.00000;0;-7.14209
2.40000;0.00000;0;-7.08809
2.50000;0.00000;0;-7.01947
2.60000;0.00000;0;-6.93372
2.70000;0.00000;0;-6.82975
2.80000;0.00000;0;-6.70768
2.90000;0.00000;0;-6.56872
3.00000;0.00000;0;-6.41503
3.10000;0.00000;0;-6.24955
3.20000;0.00000;0;-6.07594
3.30000;0.00000;0;-5.89852
3.40000;0.00000;0;-5.72222
3.50000;0.00000;0;-5.55256
3.60000;0.00000;0;-5.39564
3.70000;0.00000;0;-5.25804
3.80000;0.00000;0;-5.14675
3.90000;0.00000;0;-5.06903
4.00000;0.00000;0;-5.03215
4.10000;0.00000;0;-5.04317
4.20000;0.00000;0;-5.10846
4.30000;0.00000;0;-5.23308
4.40000;0.00000;0;-5.41978
4.50000;0.00000;0;-5.66752
4.60000;0.00000;0;-5.96944
4.70000;0.00000;0;-6.31044
4.80000;0.00000;0;-6.66527
4.90000;0.00000;0;-6.99870
5.00000;0.00000;0;-7.26936
0.10000;3.14159;180;-12.97192
0.20000;3.14159;180;-13.01675
0.30000;3.14159;180;-12.99221
0.40000;3.14159;180;-12.90393
0.50000;3.14159;180;-12.75987
0.60000;3.14159;180;-12.56955
0.70000;3.14159;180;-12.34315
0.80000;3.14159;180;-12.09079
0.90000;3.14159;180;-11.82192
1.00000;3.14159;180;-11.54479
1.10000;3.14159;180;-11.26625
1.20000;3.14159;180;-10.99155
1.30000;3.14159;180;-10.72443
1.40000;3.14159;180;-10.46714
1.50000;3.14159;180;-10.22072
1.60000;3.14159;180;-9.98517
1.70000;3.14159;180;-9.75968
1.80000;3.14159;180;-9.54295
1.90000;3.14159;180;-9.33335
2.00000;3.14159;180;-9.12919
2.10000;3.14159;180;-8.92887
2.20000;3.14159;180;-8.73097
2.30000;3.14159;180;-8.53443
2.40000;3.14159;180;-8.33855
2.50000;3.14159;180;-8.14303
2.60000;3.14159;180;-7.94796
2.70000;3.14159;180;-7.75384
2.80000;3.14159;180;-7.56153
2.90000;3.14159;180;-7.37224
3.00000;3.14159;180;-7.18745
3.10000;3.14159;180;-7.00896
3.20000;3.14159;180;-6.83877
3.30000;3.14159;180;-6.67908
3.40000;3.14159;180;-6.53229
3.50000;3.14159;180;-6.40088
3.60000;3.14159;180;-6.28746
3.70000;3.14159;180;-6.19464
3.80000;3.14159;180;-6.12503
3.90000;3.14159;180;-6.08119
4.00000;3.14159;180;-6.06553
4.10000;3.14159;180;-6.08023
4.20000;3.14159;180;-6.12714
4.30000;3.14159;180;-6.20758
4.40000;3.14159;180;-6.32211
4.50000;3.14159;180;-6.47012
4.60000;3.14159;180;-6.64929
4.70000;3.14159;180;-6.85485
4.80000;3.14159;180;-7.07874
4.90000;3.14159;180;-7.30881
5.00000;3.14159;180;-7.52831
0.10000;0.01745;1;-12.64555
0.20000;0.01745;1;-12.38620
0.30000;0.01745;1;-12.06735
0.40000;0.01745;1;-11.69904
0.50000;0.01745;1;-11.29317
0.60000;0.01745;1;-10.86263
0.70000;0.01745;1;-10.42061
0.80000;0.01745;1;-9.97988
0.90000;0.01745;1;-9.55229
1.00000;0.01745;1;-9.14825
1.10000;0.01745;1;-8.77646
1.20000;0.01745;1;-8.44356
1.30000;0.01745;1;-8.15395
1.40000;0.01745;1;-7.90969
1.50000;0.01745;1;-7.71046
1.60000;0.01745;1;-7.55370
1.70000;0.01745;1;-7.43484
1.80000;0.01745;1;-7.34767
1.90000;0.01745;1;-7.28484
2.00000;0.01745;1;-7.23836
2.10000;0.01745;1;-7.20026
2.20000;0.01745;1;-7.16304
2.30000;0.01745;1;-7.12017
2.40000;0.01745;1;-7.06635
2.50000;0.01745;1;-6.99769
2.60000;0.01745;1;-6.91177
2.70000;0.01745;1;-6.80751
2.80000;0.01745;1;-6.68509
2.90000;0.01745;1;-6.54575
3.00000;0.01745;1;-6.39166
3.10000;0.01745;1;-6.22579
3.20000;0.01745;1;-6.05181
3.30000;0.01745;1;-5.87404
3.40000;0.01745;1;-5.69739
3.50000;0.01745;1;-5.52740
3.60000;0.01745;1;-5.37014
3.70000;0.01745;1;-5.23217
3.80000;0.01745;1;-5.12047
3.90000;0.01745;1;-5.04227
4.00000;0.01745;1;-5.00484
4.10000;0.01745;1;-5.01523
4.20000;0.01745;1;-5.07985
4.30000;0.01745;1;-5.20380
4.40000;0.01745;1;-5.38995
4.50000;0.01745;1;-5.63745
4.60000;0.01745;1;-5.93965
4.70000;0.01745;1;-6.28176
4.80000;0.01745;1;-6.63879
4.90000;0.01745;1;-6.97568
5.00000;0.01745;1;-7.25095
0.10000;3.15905;181;-12.95889
0.20000;3.15905;181;-13.00768
0.30000;3.15905;181;-12.98677
0.40000;3.15905;181;-12.90173
0.50000;3.15905;181;-12.76049
0.60000;3.15905;181;-12.57257
0.70000;3.15905;181;-12.34821
0.80000;3.15905;181;-12.09761
0.90000;3.15905;181;-11.83031
1.00000;3.15905;181;-11.55466
1.10000;3.15905;181;-11.27759
1.20000;3.15905;181;-11.00446
1.30000;3.15905;181;-10.73904
1.40000;3.15905;181;-10.48366
1.50000;3.15905;181;-10.23934
1.60000;3.15905;181;-10.00606
1.70000;3.15905;181;-9.78301
1.80000;3.15905;181;-9.56882
1.90000;3.15905;181;-9.36179
2.00000;3.15905;181;-9.16016
2.10000;3.15905;181;-8.96223
2.20000;3.15905;181;-8.76654
2.30000;3.15905;181;-8.57193
2.40000;3.15905;181;-8.37765
2.50000;3.15905;181;-8.18334
2.60000;3.15905;181;-7.98908
2.70000;3.15905;181;-7.79533
2.80000;3.15905;181;-7.60296
2.90000;3.15905;181;-7.41316
3.00000;3.15905;181;-7.22747
3.10000;3.15905;181;-7.04770
3.20000;3.15905;181;-6.87589
3.30000;3.15905;181;-6.71432
3.40000;3.15905;181;-6.56543
3.50000;3.15905;181;-6.43181
3.60000;3.15905;181;-6.31612
3.70000;3.15905;181;-6.22108
3.80000;3.15905;181;-6.14939
3.90000;3.15905;181;-6.10367
4.00000;3.15905;181;-6.08640
4.10000;3.15905;181;-6.09982
4.20000;3.15905;181;-6.14582
4.30000;3.15905;181;-6.22572
4.40000;3.15905;181;-6.34006
4.50000;3.15905;181;-6.48817
4.60000;3.15905;181;-6.66761
4.70000;3.15905;181;-6.87346
4.80000;3.15905;181;-7.09747
4.90000;3.15905;181;-7.32722
5.00000;3.15905;181;-7.54574
0.10000;0.03491;2;-12.62317
0.20000;0.03491;2;-12.35974
0.30000;0.03491;2;-12.03708
0.40000;0.03491;2;-11.66540
0.50000;0.03491;2;-11.25670
0.60000;0.03491;2;-10.82396
0.70000;0.03491;2;-10.38041
0.80000;0.03491;2;-9.93884
0.90000;0.03491;2;-9.51107
1.00000;0.03491;2;-9.10749
1.10000;0.03491;2;-8.73671
1.20000;0.03491;2;-8.40529
1.30000;0.03491;2;-8.11752
1.40000;0.03491;2;-7.87534
1.50000;0.03491;2;-7.67829
1.60000;0.03491;2;-7.52372
1.70000;0.03491;2;-7.40692
1.80000;0.03491;2;-7.32160
1.90000;0.03491;2;-7.26033
2.00000;0.03491;2;-7.21511
2.10000;0.03491;2;-7.17792
2.20000;0.03491;2;-7.14131
2.30000;0.03491;2;-7.09875
2.40000;0.03491;2;-7.04501
2.50000;0.03491;2;-6.97626
2.60000;0.03491;2;-6.89010
2.70000;0.03491;2;-6.78553
2.80000;0.03491;2;-6.66275
2.90000;0.03491;2;-6.52304
3.00000;0.03491;2;-6.36860
3.10000;0.03491;2;-6.20240
3.20000;0.03491;2;-6.02812
3.30000;0.03491;2;-5.85009
3.40000;0.03491;2;-5.67321
3.50000;0.03491;2;-5.50300
3.60000;0.03491;2;-5.34552
3.70000;0.03491;2;-5.20730
3.80000;0.03491;2;-5.09530
3.90000;0.03491;2;-5.01670
4.00000;0.03491;2;-4.97878
4.10000;0.03491;2;-4.98858
4.20000;0.03491;2;-5.05250
4.30000;0.03491;2;-5.17572
4.40000;0.03491;2;-5.36120
4.50000;0.03491;2;-5.60827
4.60000;0.03491;2;-5.91054
4.70000;0.03491;2;-6.25352
4.80000;0.03491;2;-6.61252
4.90000;0.03491;2;-6.95265
5.00000;0.03491;2;-7.23240
0.10000;3.17650;182;-12.94492
0.20000;3.17650;182;-12.99771
0.30000;3.17650;182;-12.98051
0.40000;3.17650;182;-12.89877
0.50000;3.17650;182;-12.76041
0.60000;3.17650;182;-12.57494
0.70000;3.17650;182;-12.35265
0.80000;3.17650;182;-12.10382
0.90000;3.17650;182;-11.83806
1.00000;3.17650;182;-11.56384
1.10000;3.17650;182;-11.28819
1.20000;3.17650;182;-11.01655
1.30000;3.17650;182;-10.75276
1.40000;3.17650;182;-10.49919
1.50000;3.17650;182;-10.25689
1.60000;3.17650;182;-10.02583
1.70000;3.17650;182;-9.80518
1.80000;3.17650;182;-9.59350
1.90000;3.17650;182;-9.38905
2.00000;3.17650;182;-9.18998
2.10000;3.17650;182;-8.99452
2.20000;3.17650;182;-8.80111
2.30000;3.17650;182;-8.60854
2.40000;3.17650;182;-8.41599
2.50000;3.17650;182;-8.22305
2.60000;3.17650;182;-8.02976
2.70000;3.17650;182;-7.83656
2.80000;3.17650;182;-7.64431
2.90000;3.17650;182;-7.45421
3.00000;3.17650;182;-7.26780
3.10000;3.17650;182;-7.08693
3.20000;3.17650;182;-6.91369
3.30000;3.17650;182;-6.75040
3.40000;3.17650;182;-6.59958
3.50000;3.17650;182;-6.46388
3.60000;3.17650;182;-6.34604
3.70000;3.17650;182;-6.24887
3.80000;3.17650;182;-6.17514
3.90000;3.17650;182;-6.12755
4.00000;3.17650;182;-6.10866
4.10000;3.17650;182;-6.12077
4.20000;3.17650;182;-6.16578
4.30000;3.17650;182;-6.24504
4.40000;3.17650;182;-6.35906
4.50000;3.17650;182;-6.50711
4.60000;3.17650;182;-6.68665
4.70000;3.17650;182;-6.89262
4.80000;3.17650;182;-7.11656
4.90000;3.17650;182;-7.34584
5.00000;3.17650;182;-7.56322
0.10000;0.05236;3;-12.59982
0.20000;0.05236;3;-12.33233
0.30000;0.05236;3;-12.00594
0.40000;0.05236;3;-11.63100
0.50000;0.05236;3;-11.21961
0.60000;0.05236;3;-10.78484
0.70000;0.05236;3;-10.33995
0.80000;0.05236;3;-9.89775
0.90000;0.05236;3;-9.47001
1.00000;0.05236;3;-9.06709
1.10000;0.05236;3;-8.69751
1.20000;0.05236;3;-8.36773
1.30000;0.05236;3;-8.08193
1.40000;0.05236;3;-7.84192
1.50000;0.05236;3;-7.64713
1.60000;0.05236;3;-7.49476
1.70000;0.05236;3;-7.38001
1.80000;0.05236;3;-7.29650
1.90000;0.05236;3;-7.23673
2.00000;0.05236;3;-7.19266
2.10000;0.05236;3;-7.15629
2.20000;0.05236;3;-7.12018
2.30000;0.05236;3;-7.07784
2.40000;0.05236;3;-7.02410
2.50000;0.05236;3;-6.95517
2.60000;0.05236;3;-6.86873
2.70000;0.05236;3;-6.76381
2.80000;0.05236;3;-6.64067
2.90000;0.05236;3;-6.50060
3.00000;0.05236;3;-6.34584
3.10000;0.05236;3;-6.17937
3.20000;0.05236;3;-6.00488
3.30000;0.05236;3;-5.82667
3.40000;0.05236;3;-5.64967
3.50000;0.05236;3;-5.47936
3.60000;0.05236;3;-5.32177
3.70000;0.05236;3;-5.18342
3.80000;0.05236;3;-5.07121
3.90000;0.05236;3;-4.99232
4.00000;0.05236;3;-4.95397
4.10000;0.05236;3;-4.96319
4.20000;0.05236;3;-5.02641
4.30000;0.05236;3;-5.14883
4.40000;0.05236;3;-5.33354
4.50000;0.05236;3;-5.58001
4.60000;0.05236;3;-5.88214
4.70000;0.05236;3;-6.22574
4.80000;0.05236;3;-6.58646
4.90000;0.05236;3;-6.92963
5.00000;0.05236;3;-7.21374
0.10000;3.19395;183;-12.93004
0.20000;3.19395;183;-12.98690
0.30000;3.19395;183;-12.97347
0.40000;3.19395;183;-12.89513
0.50000;3.19395;183;-12.75972
0.60000;3.19395;183;-12.57676
0.70000;3.19395;183;-12.35658
0.80000;3.19395;183;-12.10952
0.90000;3.19395;183;-11.84529
1.00000;3.19395;183;-11.57246
1.10000;3.19395;183;-11.29817
1.20000;3.19395;183;-11.02793
1.30000;3.19395;183;-10.76568
1.40000;3.19395;183;-10.51382
1.50000;3.19395;183;-10.27345
1.60000;3.19395;183;-10.04455
1.70000;3.19395;183;-9.82623
1.80000;3.19395;183;-9.61703
1.90000;3.19395;183;-9.41515
2.00000;3.19395;183;-9.21865
2.10000;3.19395;183;-9.02569
2.20000;3.19395;183;-8.83463
2.30000;3.19395;183;-8.64420
2.40000;3.19395;183;-8.45350
2.50000;3.19395;183;-8.26206
2.60000;3.19395;183;-8.06990
2.70000;3.19395;183;-7.87742
2.80000;3.19395;183;-7.68547
2.90000;3.19395;183;-7.49525
3.00000;3.19395;183;-7.30832
3.10000;3.19395;183;-7.12654
3.20000;3.19395;183;-6.95205
3.30000;3.19395;183;-6.78723
3.40000;3.19395;183;-6.63463
3.50000;3.19395;183;-6.49699
3.60000;3.19395;183;-6.37713
3.70000;3.19395;183;-6.27791
3.80000;3.19395;183;-6.20221
3.90000;3.19395;183;-6.15280
4.00000;3.19395;183;-6.13229
4.10000;3.19395;183;-6.14304
4.20000;3.19395;183;-6.18699
4.30000;3.19395;183;-6.26551
4.40000;3.19395;183;-6.37909
4.50000;3.19395;183;-6.52693
4.60000;3.19395;183;-6.70641
4.70000;3.19395;183;-6.91232
4.80000;3.19395;183;-7.13601
4.90000;3.19395;183;-7.36463
5.00000;3.19395;183;-7.58074
0.10000;0.06981;4;-12.57553
0.20000;0.06981;4;-12.30400
0.30000;0.06981;4;-11.97394
0.40000;0.06981;4;-11.59583
0.50000;0.06981;4;-11.18190
0.60000;0.06981;4;-10.74527
0.70000;0.06981;4;-10.29924
