"radius_mm";"angle_rad";"angle_degree";"Axial-CURV-post_ [D]"
0.00000;;;-7.03764
0.10000;0.00000;0;-7.06465
0.20000;0.00000;0;-7.08917
0.30000;0.00000;0;-7.11002
0.40000;0.00000;0;-7.12667
0.50000;0.00000;0;-7.13871
0.60000;0.00000;0;-7.14580
0.70000;0.00000;0;-7.14769
0.80000;0.00000;0;-7.14424
0.90000;0.00000;0;-7.13543
1.00000;0.00000;0;-7.12133
1.10000;0.00000;0;-7.10211
1.20000;0.00000;0;-7.07805
1.30000;0.00000;0;-7.04955
1.40000;0.00000;0;-7.01709
1.50000;0.00000;0;-6.98121
1.60000;0.00000;0;-6.94256
1.70000;0.00000;0;-6.90183
1.80000;0.00000;0;-6.85972
1.90000;0.00000;0;-6.81699
2.00000;0.00000;0;-6.77434
2.10000;0.00000;0;-6.73249
2.20000;0.00000;0;-6.69207
2.30000;0.00000;0;-6.65366
2.40000;0.00000;0;-6.61774
2.50000;0.00000;0;-6.58471
2.60000;0.00000;0;-6.55486
2.70000;0.00000;0;-6.52839
2.80000;0.00000;0;-6.50538
2.90000;0.00000;0;-6.48584
3.00000;0.00000;0;-6.46968
3.10000;0.00000;0;-6.45678
3.20000;0.00000;0;-6.44693
3.30000;0.00000;0;-6.43994
3.40000;0.00000;0;-6.43556
3.50000;0.00000;0;-6.43358
3.60000;0.00000;0;-6.43378
3.70000;0.00000;0;-6.43597
3.80000;0.00000;0;-6.44001
3.90000;0.00000;0;-6.44576
4.00000;0.00000;0;-6.45316
4.10000;0.00000;0;-6.46215
4.20000;0.00000;0;-6.47272
4.30000;0.00000;0;-6.48487
4.40000;0.00000;0;-6.49863
4.50000;0.00000;0;-6.51402
4.60000;0.00000;0;-6.53106
4.70000;0.00000;0;-6.54977
4.80000;0.00000;0;-6.57013
4.90000;0.00000;0;-6.59208
5.00000;0.00000;0;-6.61552
0.10000;3.14159;180;-7.00696
0.20000;3.14159;180;-6.97512
0.30000;3.14159;180;-6.94222
0.40000;3.14159;180;-6.90894
0.50000;3.14159;180;-6.87596
0.60000;3.14159;180;-6.84389
0.70000;3.14159;180;-6.81327
0.80000;3.14159;180;-6.78452
0.90000;3.14159;180;-6.75798
1.00000;3.14159;180;-6.73384
1.10000;3.14159;180;-6.71218
1.20000;3.14159;180;-6.69293
1.30000;3.14159;180;-6.67591
1.40000;3.14159;180;-6.66083
1.50000;3.14159;180;-6.64732
1.60000;3.14159;180;-6.63492
1.70000;3.14159;180;-6.62316
1.80000;3.14159;180;-6.61154
1.90000;3.14159;180;-6.59960
2.00000;3.14159;180;-6.58690
2.10000;3.14159;180;-6.57307
2.20000;3.14159;180;-6.55785
