"radius_mm";"angle_rad";"angle_degree";"HEIGHT-post_ [mm]"
0.00000;;;40.96620
0.10000;0.00000;0;40.96228
0.20000;0.00000;0;40.95620
0.30000;0.00000;0;40.94797
0.40000;0.00000;0;40.93761
0.50000;0.00000;0;40.92515
0.60000;0.00000;0;40.91066
0.70000;0.00000;0;40.89419
0.80000;0.00000;0;40.87585
0.90000;0.00000;0;40.85573
1.00000;0.00000;0;40.83393
1.10000;0.00000;0;40.81057
1.20000;0.00000;0;40.78573
1.30000;0.00000;0;40.75952
1.40000;0.00000;0;40.73202
1.50000;0.00000;0;40.70330
1.60000;0.00000;0;40.67340
1.70000;0.00000;0;40.64237
1.80000;0.00000;0;40.61021
1.90000;0.00000;0;40.57691
2.00000;0.00000;0;40.54245
2.10000;0.00000;0;40.50678
2.20000;0.00000;0;40.46984
2.30000;0.00000;0;40.43155
2.40000;0.00000;0;40.39184
2.50000;0.00000;0;40.35060
2.60000;0.00000;0;40.30773
2.70000;0.00000;0;40.26313
2.80000;0.00000;0;40.21668
2.90000;0.00000;0;40.16828
3.00000;0.00000;0;40.11781
3.10000;0.00000;0;40.06516
3.20000;0.00000;0;40.01022
3.30000;0.00000;0;39.95286
3.40000;0.00000;0;39.89298
3.50000;0.00000;0;39.83046
3.60000;0.00000;0;39.76516
3.70000;0.00000;0;39.69697
3.80000;0.00000;0;39.62574
3.90000;0.00000;0;39.55130
4.00000;0.00000;0;39.47350
4.10000;0.00000;0;39.39213
4.20000;0.00000;0;39.30697
4.30000;0.00000;0;39.21773
4.40000;0.00000;0;39.12412
4.50000;0.00000;0;39.02575
4.60000;0.00000;0;38.92217
4.70000;0.00000;0;38.81283
4.80000;0.00000;0;38.69705
4.90000;0.00000;0;38.57399
5.00000;0.00000;0;38.44259
0.10000;3.14159;180;40.96799
0.20000;3.14159;180;40.96767
0.30000;3.14159;180;40.96527
0.40000;3.14159;180;40.96085
0.50000;3.14159;180;40.95443
0.60000;3.14159;180;40.94607
0.70000;3.14159;180;40.93580
0.80000;3.14159;180;40.92364
0.90000;3.14159;180;40.90963
1.00000;3.14159;180;40.89376
1.10000;3.14159;180;40.87606
1.20000;3.14159;180;40.85650
1.30000;3.14159;180;40.83509
1.40000;3.14159;180;40.81182
1.50000;3.14159;180;40.78668
1.60000;3.14159;180;40.75966
1.70000;3.14159;180;40.73076
1.80000;3.14159;180;40.69999
1.90000;3.14159;180;40.66736
2.00000;3.14159;180;40.63289
2.10000;3.14159;180;40.59659
2.20000;3.14159;180;40.55851
2.30000;3.14159;180;40.51868
2.40000;3.14159;180;40.47714
2.50000;3.14159;180;40.43391
2.60000;3.14159;180;40.38905
2.70000;3.14159;180;40.34256
2.80000;3.14159;180;40.29448
2.90000;3.14159;180;40.24481
3.00000;3.14159;180;40.19355
3.10000;3.14159;180;40.14068
3.20000;3.14159;180;40.08617
3.30000;3.14159;180;40.02997
3.40000;3.14159;180;39.97200
3.50000;3.14159;180;39.91220
3.60000;3.14159;180;39.85044
3.70000;3.14159;180;39.78660
3.80000;3.14159;180;39.72053
3.90000;3.14159;180;39.65208
4.00000;3.14159;180;39.58103
4.10000;3.14159;180;39.50717
4.20000;3.14159;180;39.43026
4.30000;3.14159;180;39.35001
4.40000;3.14159;180;39.26611
4.50000;3.14159;180;39.17818
4.60000;3.14159;180;39.08580
4.70000;3.14159;180;38.98850
4.80000;3.14159;180;38.88569
4.90000;3.14159;180;38.77668
5.00000;3.14159;180;38.66064
0.10000;0.01745;1;40.96226
0.20000;0.01745;1;40.95616
0.30000;0.01745;1;40.94792
0.40000;0.01745;1;40.93755
0.50000;0.01745;1;40.92509
0.60000;0.01745;1;40.91061
0.70000;0.01745;1;40.89417
0.80000;0.01745;1;40.87586
0.90000;0.01745;1;40.85578
1.00000;0.01745;1;40.83404
1.10000;0.01745;1;40.81074
1.20000;0.01745;1;40.78598
1.30000;0.01745;1;40.75986
1.40000;0.01745;1;40.73246
1.50000;0.01745;1;40.70385
1.60000;0.01745;1;40.67407
1.70000;0.01745;1;40.64317
1.80000;0.01745;1;40.61115
1.90000;0.01745;1;40.57800
2.00000;0.01745;1;40.54369
2.10000;0.01745;1;40.50819
2.20000;0.01745;1;40.47142
2.30000;0.01745;1;40.43332
2.40000;0.01745;1;40.39379
2.50000;0.01745;1;40.35275
2.60000;0.01745;1;40.31009
2.70000;0.01745;1;40.26570
2.80000;0.01745;1;40.21947
2.90000;0.01745;1;40.17130
3.00000;0.01745;1;40.12107
3.10000;0.01745;1;40.06867
3.20000;0.01745;1;40.01398
3.30000;0.01745;1;39.95689
3.40000;0.01745;1;39.89728
3.50000;0.01745;1;39.83504
3.60000;0.01745;1;39.77004
3.70000;0.01745;1;39.70215
3.80000;0.01745;1;39.63124
3.90000;0.01745;1;39.55715
4.00000;0.01745;1;39.47970
4.10000;0.01745;1;39.39870
4.20000;0.01745;1;39.31393
4.30000;0.01745;1;39.22511
4.40000;0.01745;1;39.13194
4.50000;0.01745;1;39.03404
4.60000;0.01745;1;38.93096
4.70000;0.01745;1;38.82215
4.80000;0.01745;1;38.70695
4.90000;0.01745;1;38.58452
5.00000;0.01745;1;38.45380
0.10000;3.15905;181;40.96802
0.20000;3.15905;181;40.96772
0.30000;3.15905;181;40.96535
0.40000;3.15905;181;40.96095
0.50000;3.15905;181;40.95455
0.60000;3.15905;181;40.94620
0.70000;3.15905;181;40.93594
0.80000;3.15905;181;40.92379
0.90000;3.15905;181;40.90977
1.00000;3.15905;181;40.89390
1.10000;3.15905;181;40.87617
1.20000;3.15905;181;40.85659
1.30000;3.15905;181;40.83515
1.40000;3.15905;181;40.81183
1.50000;3.15905;181;40.78664
1.60000;3.15905;181;40.75957
1.70000;3.15905;181;40.73061
1.80000;3.15905;181;40.69978
1.90000;3.15905;181;40.66707
2.00000;3.15905;181;40.63252
2.10000;3.15905;181;40.59614
2.20000;3.15905;181;40.55798
2.30000;3.15905;181;40.51805
2.40000;3.15905;181;40.47640
2.50000;3.15905;181;40.43307
2.60000;3.15905;181;40.38809
2.70000;3.15905;181;40.34147
2.80000;3.15905;181;40.29326
2.90000;3.15905;181;40.24344
3.00000;3.15905;181;40.19202
3.10000;3.15905;181;40.13898
3.20000;3.15905;181;40.08429
3.30000;3.15905;181;40.02789
3.40000;3.15905;181;39.96972
3.50000;3.15905;181;39.90969
3.60000;3.15905;181;39.84768
3.70000;3.15905;181;39.78359
3.80000;3.15905;181;39.71725
3.90000;3.15905;181;39.64850
4.00000;3.15905;181;39.57714
4.10000;3.15905;181;39.50296
4.20000;3.15905;181;39.42570
4.30000;3.15905;181;39.34508
4.40000;3.15905;181;39.26077
4.50000;3.15905;181;39.17242
4.60000;3.15905;181;39.07960
4.70000;3.15905;181;38.98181
4.80000;3.15905;181;38.87847
4.90000;3.15905;181;38.76890
5.00000;3.15905;181;38.65225
0.10000;0.03491;2;40.96223
0.20000;0.03491;2;40.95612
0.30000;0.03491;2;40.94787
0.40000;0.03491;2;40.93749
0.50000;0.03491;2;40.92504
0.60000;0.03491;2;40.91057
0.70000;0.03491;2;40.89415
0.80000;0.03491;2;40.87588
0.90000;0.03491;2;40.85584
1.00000;0.03491;2;40.83415
1.10000;0.03491;2;40.81091
1.20000;0.03491;2;40.78623
1.30000;0.03491;2;40.76019
1.40000;0.03491;2;40.73289
1.50000;0.03491;2;40.70438
1.60000;0.03491;2;40.67472
1.70000;0.03491;2;40.64394
1.80000;0.03491;2;40.61206
1.90000;0.03491;2;40.57905
2.00000;0.03491;2;40.54489
2.10000;0.03491;2;40.50955
2.20000;0.03491;2;40.47294
2.30000;0.03491;2;40.43501
2.40000;0.03491;2;40.39566
2.50000;0.03491;2;40.35481
2.60000;0.03491;2;40.31234
2.70000;0.03491;2;40.26815
2.80000;0.03491;2;40.22214
2.90000;0.03491;2;40.17418
3.00000;0.03491;2;40.12418
3.10000;0.03491;2;40.07201
3.20000;0.03491;2;40.01756
3.30000;0.03491;2;39.96073
3.40000;0.03491;2;39.90139
3.50000;0.03491;2;39.83942
3.60000;0.03491;2;39.77472
3.70000;0.03491;2;39.70714
3.80000;0.03491;2;39.63655
3.90000;0.03491;2;39.56279
4.00000;0.03491;2;39.48570
4.10000;0.03491;2;39.40508
4.20000;0.03491;2;39.32071
4.30000;0.03491;2;39.23231
4.40000;0.03491;2;39.13959
4.50000;0.03491;2;39.04217
4.60000;0.03491;2;38.93960
4.70000;0.03491;2;38.83134
4.80000;0.03491;2;38.71672
4.90000;0.03491;2;38.59492
5.00000;0.03491;2;38.46490
0.10000;3.17650;182;40.96804
0.20000;3.17650;182;40.96777
0.30000;3.17650;182;40.96542
0.40000;3.17650;182;40.96104
0.50000;3.17650;182;40.95467
0.60000;3.17650;182;40.94633
0.70000;3.17650;182;40.93608
0.80000;3.17650;182;40.92393
0.90000;3.17650;182;40.90991
1.00000;3.17650;182;40.89402
1.10000;3.17650;182;40.87627
1.20000;3.17650;182;40.85666
1.30000;3.17650;182;40.83519
1.40000;3.17650;182;40.81183
1.50000;3.17650;182;40.78659
1.60000;3.17650;182;40.75946
1.70000;3.17650;182;40.73044
1.80000;3.17650;182;40.69953
1.90000;3.17650;182;40.66675
2.00000;3.17650;182;40.63212
2.10000;3.17650;182;40.59566
2.20000;3.17650;182;40.55739
2.30000;3.17650;182;40.51737
2.40000;3.17650;182;40.47562
2.50000;3.17650;182;40.43217
2.60000;3.17650;182;40.38706
2.70000;3.17650;182;40.34032
2.80000;3.17650;182;40.29196
2.90000;3.17650;182;40.24200
3.00000;3.17650;182;40.19042
3.10000;3.17650;182;40.13721
3.20000;3.17650;182;40.08233
3.30000;3.17650;182;40.02573
3.40000;3.17650;182;39.96735
3.50000;3.17650;182;39.90708
3.60000;3.17650;182;39.84484
3.70000;3.17650;182;39.78048
3.80000;3.17650;182;39.71387
3.90000;3.17650;182;39.64482
4.00000;3.17650;182;39.57315
4.10000;3.17650;182;39.49863
4.20000;3.17650;182;39.42101
4.30000;3.17650;182;39.34001
4.40000;3.17650;182;39.25530
4.50000;3.17650;182;39.16652
4.60000;3.17650;182;39.07323
4.70000;3.17650;182;38.97495
4.80000;3.17650;182;38.87108
4.90000;3.17650;182;38.76094
5.00000;3.17650;182;38.64366
0.10000;0.05236;3;40.96221
0.20000;0.05236;3;40.95608
0.30000;0.05236;3;40.94782
0.40000;0.05236;3;40.93744
0.50000;0.05236;3;40.92499
0.60000;0.05236;3;40.91053
0.70000;0.05236;3;40.89414
0.80000;0.05236;3;40.87589
0.90000;0.05236;3;40.85590
1.00000;0.05236;3;40.83426
1.10000;0.05236;3;40.81108
1.20000;0.05236;3;40.78647
1.30000;0.05236;3;40.76052
1.40000;0.05236;3;40.73331
1.50000;0.05236;3;40.70490
1.60000;0.05236;3;40.67535
1.70000;0.05236;3;40.64470
1.80000;0.05236;3;40.61293
1.90000;0.05236;3;40.58006
2.00000;0.05236;3;40.54605
