"radius_mm";"angle_rad";"angle_degree";"Inst-CURV-post_ [D]"
0.00000;;;-10.85131
0.10000;0.00000;0;-10.96972
0.20000;0.00000;0;-10.91539
0.30000;0.00000;0;-10.69666
0.40000;0.00000;0;-10.33335
0.50000;0.00000;0;-9.85455
0.60000;0.00000;0;-9.29551
0.70000;0.00000;0;-8.69435
0.80000;0.00000;0;-8.08891
0.90000;0.00000;0;-7.51403
1.00000;0.00000;0;-6.99949
1.10000;0.00000;0;-6.56855
1.20000;0.00000;0;-6.23708
1.30000;0.00000;0;-6.01317
1.40000;0.00000;0;-5.89723
1.50000;0.00000;0;-5.88237
1.60000;0.00000;0;-5.95517
1.70000;0.00000;0;-6.09689
1.80000;0.00000;0;-6.28491
1.90000;0.00000;0;-6.49461
2.00000;0.00000;0;-6.70130
2.10000;0.00000;0;-6.88219
2.20000;0.00000;0;-7.01813
2.30000;0.00000;0;-7.09502
2.40000;0.00000;0;-7.10461
2.50000;0.00000;0;-7.04483
2.60000;0.00000;0;-6.91948
2.70000;0.00000;0;-6.73741
2.80000;0.00000;0;-6.51149
2.90000;0.00000;0;-6.25729
3.00000;0.00000;0;-5.99187
3.10000;0.00000;0;-5.73272
3.20000;0.00000;0;-5.49690
3.30000;0.00000;0;-5.30033
3.40000;0.00000;0;-5.15731
3.50000;0.00000;0;-5.08021
3.60000;0.00000;0;-5.07914
3.70000;0.00000;0;-5.16178
3.80000;0.00000;0;-5.33310
3.90000;0.00000;0;-5.59523
4.00000;0.00000;0;-5.94719
4.10000;0.00000;0;-6.38472
4.20000;0.00000;0;-6.90002
4.30000;0.00000;0;-7.48156
4.40000;0.00000;0;-8.11367
4.50000;0.00000;0;-8.77605
4.60000;0.00000;0;-9.44284
4.70000;0.00000;0;-10.08136
4.80000;0.00000;0;-10.65031
4.90000;0.00000;0;-11.09741
5.00000;0.00000;0;-11.35652
0.10000;3.14159;180;-10.56440
0.20000;3.14159;180;-10.12531
0.30000;3.14159;180;-9.56067
0.40000;3.14159;180;-8.90455
0.50000;3.14159;180;-8.19522
0.60000;3.14159;180;-7.47185
0.70000;3.14159;180;-6.77162
0.80000;3.14159;180;-6.12740
0.90000;3.14159;180;-5.56589
1.00000;3.14159;180;-5.10645
1.10000;3.14159;180;-4.76027
1.20000;3.14159;180;-4.53015
1.30000;3.14159;180;-4.41072
1.40000;3.14159;180;-4.38906
1.50000;3.14159;180;-4.44591
1.60000;3.14159;180;-4.55722
1.70000;3.14159;180;-4.69612
1.80000;3.14159;180;-4.83516
1.90000;3.14159;180;-4.94854
2.00000;3.14159;180;-5.01420
2.10000;3.14159;180;-5.01546
2.20000;3.14159;180;-4.94205
2.30000;3.14159;180;-4.79050
2.40000;3.14159;180;-4.56396
2.50000;3.14159;180;-4.27145
2.60000;3.14159;180;-3.92685
2.70000;3.14159;180;-3.54775
2.80000;3.14159;180;-3.15427
