"radius_mm";"angle_rad";"angle_degree";"Total-POWER_ [D]"
0.00000;;;42.51371
0.10000;0.00000;0;42.61819
0.20000;0.00000;0;42.68970
0.30000;0.00000;0;42.75917
0.40000;0.00000;0;42.82648
0.50000;0.00000;0;42.89146
0.60000;0.00000;0;42.95388
0.70000;0.00000;0;43.01346
0.80000;0.00000;0;43.06989
0.90000;0.00000;0;43.12284
1.00000;0.00000;0;43.17201
1.10000;0.00000;0;43.21712
1.20000;0.00000;0;43.25800
1.30000;0.00000;0;43.29458
1.40000;0.00000;0;43.32694
1.50000;0.00000;0;43.35528
1.60000;0.00000;0;43.38000
1.70000;0.00000;0;43.40162
1.80000;0.00000;0;43.42082
1.90000;0.00000;0;43.43840
2.00000;0.00000;0;43.45524
2.10000;0.00000;0;43.47230
2.20000;0.00000;0;43.49051
2.30000;0.00000;0;43.51081
2.40000;0.00000;0;43.53404
2.50000;0.00000;0;43.56093
2.60000;0.00000;0;43.59204
2.70000;0.00000;0;43.62777
2.80000;0.00000;0;43.66827
2.90000;0.00000;0;43.71350
3.00000;0.00000;0;43.76319
3.10000;0.00000;0;43.81684
3.20000;0.00000;0;43.87378
3.30000;0.00000;0;43.93316
3.40000;0.00000;0;43.99402
3.50000;0.00000;0;44.05531
3.60000;0.00000;0;44.11597
3.70000;0.00000;0;44.17491
3.80000;0.00000;0;44.23114
3.90000;0.00000;0;44.28375
4.00000;0.00000;0;44.33198
4.10000;0.00000;0;44.37520
4.20000;0.00000;0;44.41300
4.30000;0.00000;0;44.44511
4.40000;0.00000;0;44.47147
4.50000;0.00000;0;44.49216
4.60000;0.00000;0;44.50739
4.70000;0.00000;0;44.51750
4.80000;0.00000;0;44.52286
4.90000;0.00000;0;44.52384
5.00000;0.00000;0;44.52074
0.10000;3.14159;180;42.46943
0.20000;3.14159;180;42.39244
0.30000;3.14159;180;42.31402
0.40000;3.14159;180;42.23456
0.50000;3.14159;180;42.15466
0.60000;3.14159;180;42.07513
0.70000;3.14159;180;41.99704
0.80000;3.14159;180;41.92170
0.90000;3.14159;180;41.85066
1.00000;3.14159;180;41.78565
1.10000;3.14159;180;41.72852
1.20000;3.14159;180;41.68117
1.30000;3.14159;180;41.64545
1.40000;3.14159;180;41.62306
1.50000;3.14159;180;41.61545
1.60000;3.14159;180;41.62372
1.70000;3.14159;180;41.64855
1.80000;3.14159;180;41.69013
1.90000;3.14159;180;41.74810
2.00000;3.14159;180;41.82158
2.10000;3.14159;180;41.90911
2.20000;3.14159;180;42.00877
2.30000;3.14159;180;42.11816
2.40000;3.14159;180;42.23452
2.50000;3.14159;180;42.35481
2.60000;3.14159;180;42.47582
2.70000;3.14159;180;42.59424
2.80000;3.14159;180;42.70683
2.90000;3.14159;180;42.81043
3.00000;3.14159;180;42.90212
3.10000;3.14159;180;42.97926
3.20000;3.14159;180;43.03955
3.30000;3.14159;180;43.08109
3.40000;3.14159;180;43.10238
3.50000;3.14159;180;43.10237
3.60000;3.14159;180;43.08041
3.70000;3.14159;180;43.03631
3.80000;3.14159;180;42.97023
3.90000;3.14159;180;42.88273
4.00000;3.14159;180;42.77469
4.10000;3.14159;180;42.64729
4.20000;3.14159;180;42.50198
4.30000;3.14159;180;42.34042
4.40000;3.14159;180;42.16448
4.50000;3.14159;180;41.97619
4.60000;3.14159;180;41.77769
4.70000;3.14159;180;41.57121
4.80000;3.14159;180;41.35906
4.90000;3.14159;180;41.14354
5.00000;3.14159;180;40.92691
0.10000;0.01745;1;42.63460
0.20000;0.01745;1;42.70269
0.30000;0.01745;1;42.76846
0.40000;0.01745;1;42.83191
0.50000;0.01745;1;42.89298
0.60000;0.01745;1;42.95154
0.70000;0.01745;1;43.00743
0.80000;0.01745;1;43.06042
0.90000;0.01745;1;43.11026
1.00000;0.01745;1;43.15669
1.10000;0.01745;1;43.19952
1.20000;0.01745;1;43.23858
1.30000;0.01745;1;43.27383
1.40000;0.01745;1;43.30533
1.50000;0.01745;1;43.33328
1.60000;0.01745;1;43.35802
1.70000;0.01745;1;43.38005
1.80000;0.01745;1;43.39999
1.90000;0.01745;1;43.41856
2.00000;0.01745;1;43.43659
2.10000;0.01745;1;43.45494
2.20000;0.01745;1;43.47450
2.30000;0.01745;1;43.49613
2.40000;0.01745;1;43.52059
2.50000;0.01745;1;43.54857
2.60000;0.01745;1;43.58057
2.70000;0.01745;1;43.61694
2.80000;0.01745;1;43.65783
2.90000;0.01745;1;43.70316
3.00000;0.01745;1;43.75264
3.10000;0.01745;1;43.80578
3.20000;0.01745;1;43.86192
3.30000;0.01745;1;43.92023
3.40000;0.01745;1;43.97977
3.50000;0.01745;1;44.03951
3.60000;0.01745;1;44.09840
3.70000;0.01745;1;44.15541
3.80000;0.01745;1;44.20956
3.90000;0.01745;1;44.25998
4.00000;0.01745;1;44.30593
4.10000;0.01745;1;44.34682
4.20000;0.01745;1;44.38224
4.30000;0.01745;1;44.41196
4.40000;0.01745;1;44.43593
4.50000;0.01745;1;44.45424
4.60000;0.01745;1;44.46713
4.70000;0.01745;1;44.47494
4.80000;0.01745;1;44.47804
4.90000;0.01745;1;44.47683
5.00000;0.01745;1;44.47161
0.10000;3.15905;181;42.49145
0.20000;3.15905;181;42.41645
0.30000;3.15905;181;42.33937
0.40000;3.15905;181;42.26057
0.50000;3.15905;181;42.18060
0.60000;3.15905;181;42.10027
0.70000;3.15905;181;42.02066
0.80000;3.15905;181;41.94313
0.90000;3.15905;181;41.86929
1.00000;3.15905;181;41.80095
1.10000;3.15905;181;41.74007
1.20000;3.15905;181;41.68868
1.30000;3.15905;181;41.64875
1.40000;3.15905;181;41.62213
1.50000;3.15905;181;41.61039
1.60000;3.15905;181;41.61477
1.70000;3.15905;181;41.63606
1.80000;3.15905;181;41.67456
1.90000;3.15905;181;41.72999
2.00000;3.15905;181;41.80152
2.10000;3.15905;181;41.88773
2.20000;3.15905;181;41.98669
2.30000;3.15905;181;42.09598
2.40000;3.15905;181;42.21279
2.50000;3.15905;181;42.33402
2.60000;3.15905;181;42.45636
2.70000;3.15905;181;42.57640
2.80000;3.15905;181;42.69076
2.90000;3.15905;181;42.79618
3.00000;3.15905;181;42.88961
3.10000;3.15905;181;42.96829
3.20000;3.15905;181;43.02980
3.30000;3.15905;181;43.07214
3.40000;3.15905;181;43.09373
3.50000;3.15905;181;43.09343
3.60000;3.15905;181;43.07055
3.70000;3.15905;181;43.02484
3.80000;3.15905;181;42.95647
3.90000;3.15905;181;42.86596
4.00000;3.15905;181;42.75422
4.10000;3.15905;181;42.62245
4.20000;3.15905;181;42.47214
4.30000;3.15905;181;42.30501
4.40000;3.15905;181;42.12298
4.50000;3.15905;181;41.92815
4.60000;3.15905;181;41.72275
4.70000;3.15905;181;41.50910
4.80000;3.15905;181;41.28959
4.90000;3.15905;181;41.06660
5.00000;3.15905;181;40.84252
0.10000;0.03491;2;42.65096
0.20000;0.03491;2;42.71563
0.30000;0.03491;2;42.77770
0.40000;0.03491;2;42.83727
0.50000;0.03491;2;42.89440
0.60000;0.03491;2;42.94907
0.70000;0.03491;2;43.00122
0.80000;0.03491;2;43.05070
0.90000;0.03491;2;43.09735
1.00000;0.03491;2;43.14100
1.10000;0.03491;2;43.18146
1.20000;0.03491;2;43.21864
1.30000;0.03491;2;43.25250
1.40000;0.03491;2;43.28310
1.50000;0.03491;2;43.31063
1.60000;0.03491;2;43.33540
1.70000;0.03491;2;43.35786
1.80000;0.03491;2;43.37857
1.90000;0.03491;2;43.39821
2.00000;0.03491;2;43.41751
2.10000;0.03491;2;43.43728
2.20000;0.03491;2;43.45832
2.30000;0.03491;2;43.48141
2.40000;0.03491;2;43.50727
2.50000;0.03491;2;43.53650
2.60000;0.03491;2;43.56956
2.70000;0.03491;2;43.60675
2.80000;0.03491;2;43.64818
2.90000;0.03491;2;43.69375
3.00000;0.03491;2;43.74316
3.10000;0.03491;2;43.79592
3.20000;0.03491;2;43.85136
3.30000;0.03491;2;43.90868
3.40000;0.03491;2;43.96693
3.50000;0.03491;2;44.02514
3.60000;0.03491;2;44.08227
3.70000;0.03491;2;44.13733
3.80000;0.03491;2;44.18937
3.90000;0.03491;2;44.23754
4.00000;0.03491;2;44.28114
4.10000;0.03491;2;44.31961
4.20000;0.03491;2;44.35255
4.30000;0.03491;2;44.37978
4.40000;0.03491;2;44.40123
4.50000;0.03491;2;44.41705
4.60000;0.03491;2;44.42747
4.70000;0.03491;2;44.43285
4.80000;0.03491;2;44.43357
4.90000;0.03491;2;44.43005
5.00000;0.03491;2;44.42259
0.10000;3.17650;182;42.51338
0.20000;3.17650;182;42.44037
0.30000;3.17650;182;42.36464
0.40000;3.17650;182;42.28649
0.50000;3.17650;182;42.20647
0.60000;3.17650;182;42.12536
0.70000;3.17650;182;42.04428
0.80000;3.17650;182;41.96461
0.90000;3.17650;182;41.88804
1.00000;3.17650;182;41.81647
1.10000;3.17650;182;41.75197
1.20000;3.17650;182;41.69667
1.30000;3.17650;182;41.65267
1.40000;3.17650;182;41.62196
1.50000;3.17650;182;41.60624
1.60000;3.17650;182;41.60688
1.70000;3.17650;182;41.62478
1.80000;3.17650;182;41.66033
1.90000;3.17650;182;41.71333
2.00000;3.17650;182;41.78299
2.10000;3.17650;182;41.86794
2.20000;3.17650;182;41.96623
2.30000;3.17650;182;42.07543
2.40000;3.17650;182;42.19268
2.50000;3.17650;182;42.31479
2.60000;3.17650;182;42.43837
2.70000;3.17650;182;42.55990
2.80000;3.17650;182;42.67589
2.90000;3.17650;182;42.78295
3.00000;3.17650;182;42.87792
3.10000;3.17650;182;42.95791
3.20000;3.17650;182;43.02040
3.30000;3.17650;182;43.06328
3.40000;3.17650;182;43.08489
3.50000;3.17650;182;43.08403
3.60000;3.17650;182;43.05995
3.70000;3.17650;182;43.01237
3.80000;3.17650;182;42.94142
3.90000;3.17650;182;42.84766
4.00000;3.17650;182;42.73199
4.10000;3.17650;182;42.59564
4.20000;3.17650;182;42.44015
4.30000;3.17650;182;42.26728
4.40000;3.17650;182;42.07904
4.50000;3.17650;182;41.87759
4.60000;3.17650;182;41.66522
4.70000;3.17650;182;41.44436
4.80000;3.17650;182;41.21748
4.90000;3.17650;182;40.98708
5.00000;3.17650;182;40.75560
0.10000;0.05236;3;42.66725
0.20000;0.05236;3;42.72851
0.30000;0.05236;3;42.78687
0.40000;0.05236;3;42.84256
0.50000;0.05236;3;42.89573
0.60000;0.05236;3;42.94648
0.70000;0.05236;3;42.99484
0.80000;0.05236;3;43.04077
0.90000;0.05236;3;43.08418
1.00000;0.05236;3;43.12496
1.10000;0.05236;3;43.16301
1.20000;0.05236;3;43.19825
1.30000;0.05236;3;43.23066
1.40000;0.05236;3;43.26033
1.50000;0.05236;3;43.28741
1.60000;0.05236;3;43.31221
1.70000;0.05236;3;43.33512
1.80000;0.05236;3;43.35665
1.90000;0.05236;3;43.37741
2.00000;0.05236;3;43.39807
2.10000;0.05236;3;43.41936
2.20000;0.05236;3;43.44201
2.30000;0.05236;3;43.46672
2.40000;0.05236;3;43.49412
2.50000;0.05236;3;43.52476
2.60000;0.05236;3;43.55904
2.70000;0.05236;3;43.59721
2.80000;0.05236;3;43.63933
2.90000;0.05236;3;43.68528
3.00000;0.05236;3;43.73474
3.10000;0.05236;3;43.78721
3.20000;0.05236;3;43.84204
3.30000;0.05236;3;43.89841
3.40000;0.05236;3;43.95543
3.50000;0.05236;3;44.01211
3.60000;0.05236;3;44.06748
3.70000;0.05236;3;44.12056
3.80000;0.05236;3;44.17043
3.90000;0.05236;3;44.21629
4.00000;0.05236;3;44.25745
4.10000;0.05236;3;44.29340
4.20000;0.05236;3;44.32376
4.30000;0.05236;3;44.34837
4.40000;0.05236;3;44.36719
4.50000;0.05236;3;44.38038
4.60000;0.05236;3;44.38821
4.70000;0.05236;3;44.39102
4.80000;0.05236;3;44.38924
4.90000;0.05236;3;44.38328
5.00000;0.05236;3;44.37346
0.10000;3.19395;183;42.53522
0.20000;3.19395;183;42.46417
0.30000;3.19395;183;42.38977
0.40000;3.19395;183;42.31228
0.50000;3.19395;183;42.23221
0.60000;3.19395;183;42.15036
0.70000;3.19395;183;42.06785
0.80000;3.19395;183;41.98613
0.90000;3.19395;183;41.90692
1.00000;3.19395;183;41.83223
1.10000;3.19395;183;41.76423
1.20000;3.19395;183;41.70515
1.30000;3.19395;183;41.65725
1.40000;3.19395;183;41.62261
1.50000;3.19395;183;41.60308
1.60000;3.19395;183;41.60014
1.70000;3.19395;183;41.61480
1.80000;3.19395;183;41.64753
1.90000;3.19395;183;41.69822
2.00000;3.19395;183;41.76613
2.10000;3.19395;183;41.84989
2.20000;3.19395;183;41.94757
2.30000;3.19395;183;42.05669
2.40000;3.19395;183;42.17436
2.50000;3.19395;183;42.29731
2.60000;3.19395;183;42.42204
2.70000;3.19395;183;42.54495
2.80000;3.19395;183;42.66243
2.90000;3.19395;183;42.77096
3.00000;3.19395;183;42.86727
3.10000;3.19395;183;42.94835
3.20000;3.19395;183;43.01158
3.30000;3.19395;183;43.05476
3.40000;3.19395;183;43.07614
3.50000;3.19395;183;43.07445
3.60000;3.19395;183;43.04890
3.70000;3.19395;183;42.99919
3.80000;3.19395;183;42.92543
3.90000;3.19395;183;42.82817
4.00000;3.19395;183;42.70834
4.10000;3.19395;183;42.56721
4.20000;3.19395;183;42.40635
4.30000;3.19395;183;42.22761
4.40000;3.19395;183;42.03302
4.50000;3.19395;183;41.82484
4.60000;3.19395;183;41.60545
4.70000;3.19395;183;41.37735
4.80000;3.19395;183;41.14311
4.90000;3.19395;183;40.90532
5.00000;3.19395;183;40.66653
0.10000;0.06981;4;42.68345
0.20000;0.06981;4;42.74131
0.30000;0.06981;4;42.79599
0.40000;0.06981;4;42.84779
0.50000;0.06981;4;42.89699
0.60000;0.06981;4;42.94379
0.70000;0.06981;4;42.98833
0.80000;0.06981;4;43.03065
0.90000;0.06981;4;43.07077
1.00000;0.06981;4;43.10864
1.10000;0.06981;4;43.14421
1.20000;0.06981;4;43.17746
1.30000;0.06981;4;43.20839
1.40000;0.06981;4;43.23708
1.50000;0.06981;4;43.26371
1.60000;0.06981;4;43.28853
1.70000;0.06981;4;43.31191
1.80000;0.06981;4;43.33430
1.90000;0.06981;4;43.35625
2.00000;0.06981;4;43.37836
2.10000;0.06981;4;43.40127
2.20000;0.06981;4;43.42565
2.30000;0.06981;4;43.45210
2.40000;0.06981;4;43.48119
2.50000;0.06981;4;43.51338
2.60000;0.06981;4;43.54903
2.70000;0.06981;4;43.58831
2.80000;0.06981;4;43.63126
2.90000;0.06981;4;43.67771
3.00000;0.06981;4;43.72732
3.10000;0.06981;4;43.77960
3.20000;0.06981;4;43.83387
3.30000;0.06981;4;43.88935
3.40000;0.06981;4;43.94515
3.50000;0.06981;4;44.00032
3.60000;0.06981;4;44.05390
3.70000;0.06981;4;44.10495
3.80000;0.06981;4;44.15259
3.90000;0.06981;4;44.19606
4.00000;0.06981;4;44.23469
4.10000;0.06981;4;44.26801
4.20000;0.06981;4;44.29568
4.30000;0.06981;4;44.31754
4.40000;0.06981;4;44.33361
4.50000;0.06981;4;44.34404
4.60000;0.06981;4;44.34913
4.70000;0.06981;4;44.34926
4.80000;0.06981;4;44.34484
4.90000;0.06981;4;44.33631
5.00000;0.06981;4;44.32401
0.10000;3.21141;184;42.55693
0.20000;3.21141;184;42.48782
0.30000;3.21141;184;42.41474
0.40000;3.21141;184;42.33791
0.50000;3.21141;184;42.25781
0.60000;3.21141;184;42.17525
0.70000;3.21141;184;42.09137
0.80000;3.21141;184;42.00765
0.90000;3.21141;184;41.92591
1.00000;3.21141;184;41.84822
1.10000;3.21141;184;41.77685
1.20000;3.21141;184;41.71416
1.30000;3.21141;184;41.66252
1.40000;3.21141;184;41.62413
1.50000;3.21141;184;41.60096
1.60000;3.21141;184;41.59461
1.70000;3.21141;184;41.60620
1.80000;3.21141;184;41.63628
1.90000;3.21141;184;41.68480
2.00000;3.21141;184;41.75106
2.10000;3.21141;184;41.83372
2.20000;3.21141;184;41.93084
2.30000;3.21141;184;42.03992
2.40000;3.21141;184;42.15800
2.50000;3.21141;184;42.28174
2.60000;3.21141;184;42.40757
2.70000;3.21141;184;42.53176
2.80000;3.21141;184;42.65059
2.90000;3.21141;184;42.76044
3.00000;3.21141;184;42.85791
3.10000;3.21141;184;42.93988
3.20000;3.21141;184;43.00363
3.30000;3.21141;184;43.04687
3.40000;3.21141;184;43.06777
3.50000;3.21141;184;43.06501
3.60000;3.21141;184;43.03775
3.70000;3.21141;184;42.98565
3.80000;3.21141;184;42.90884
3.90000;3.21141;184;42.80786
4.00000;3.21141;184;42.68367
4.10000;3.21141;184;42.53757
4.20000;3.21141;184;42.37118
4.30000;3.21141;184;42.18641
4.40000;3.21141;184;41.98536
4.50000;3.21141;184;41.77037
4.60000;3.21141;184;41.54390
4.70000;3.21141;184;41.30854
4.80000;3.21141;184;41.06695
4.90000;3.21141;184;40.82180
5.00000;3.21141;184;40.57575
0.10000;0.08727;5;42.69954
0.20000;0.08727;5;42.75404
0.30000;0.08727;5;42.80504
0.40000;0.08727;5;42.85296
0.50000;0.08727;5;42.89818
0.60000;0.08727;5;42.94102
0.70000;0.08727;5;42.98170
0.80000;0.08727;5;43.02039
0.90000;0.08727;5;43.05717
1.00000;0.08727;5;43.09208
1.10000;0.08727;5;43.12513
1.20000;0.08727;5;43.15634
1.30000;0.08727;5;43.18574
1.40000;0.08727;5;43.21344
1.50000;0.08727;5;43.23959
1.60000;0.08727;5;43.26444
1.70000;0.08727;5;43.28831
1.80000;0.08727;5;43.31160
1.90000;0.08727;5;43.33480
2.00000;0.08727;5;43.35843
2.10000;0.08727;5;43.38307
2.20000;0.08727;5;43.40928
2.30000;0.08727;5;43.43760
2.40000;0.08727;5;43.46851
2.50000;0.08727;5;43.50240
2.60000;0.08727;5;43.53954
2.70000;0.08727;5;43.58007
2.80000;0.08727;5;43.62395
2.90000;0.08727;5;43.67101
3.00000;0.08727;5;43.72087
3.10000;0.08727;5;43.77302
3.20000;0.08727;5;43.82680
3.30000;0.08727;5;43.88141
3.40000;0.08727;5;43.93599
3.50000;0.08727;5;43.98963
3.60000;0.08727;5;44.04139
3.70000;0.08727;5;44.09036
3.80000;0.08727;5;44.13570
3.90000;0.08727;5;44.17668
4.00000;0.08727;5;44.21269
4.10000;0.08727;5;44.24326
4.20000;0.08727;5;44.26811
4.30000;0.08727;5;44.28710
4.40000;0.08727;5;44.30027
4.50000;0.08727;5;44.30782
4.60000;0.08727;5;44.31004
4.70000;0.08727;5;44.30734
4.80000;0.08727;5;44.30015
4.90000;0.08727;5;44.28893
5.00000;0.08727;5;44.27403
0.10000;3.22886;185;42.57847
0.20000;3.22886;185;42.51129
0.30000;3.22886;185;42.43952
0.40000;3.22886;185;42.36334
0.50000;3.22886;185;42.28323
0.60000;3.22886;185;42.19999
0.70000;3.22886;185;42.11479
0.80000;3.22886;185;42.02916
0.90000;3.22886;185;41.94499
1.00000;3.22886;185;41.86442
1.10000;3.22886;185;41.78983
1.20000;3.22886;185;41.72370
1.30000;3.22886;185;41.66849
1.40000;3.22886;185;41.62654
1.50000;3.22886;185;41.59993
1.60000;3.22886;185;41.59037
1.70000;3.22886;185;41.59906
1.80000;3.22886;185;41.62665
1.90000;3.22886;185;41.67314
2.00000;3.22886;185;41.73788
2.10000;3.22886;185;41.81955
2.20000;3.22886;185;41.91618
2.30000;3.22886;185;42.02526
2.40000;3.22886;185;42.14375
2.50000;3.22886;185;42.26827
2.60000;3.22886;185;42.39512
2.70000;3.22886;185;42.52050
2.80000;3.22886;185;42.64057
2.90000;3.22886;185;42.75159
3.00000;3.22886;185;42.85005
3.10000;3.22886;185;42.93273
3.20000;3.22886;185;42.99681
3.30000;3.22886;185;43.03989
3.40000;3.22886;185;43.06010
3.50000;3.22886;185;43.05604
3.60000;3.22886;185;43.02684
3.70000;3.22886;185;42.97215
3.80000;3.22886;185;42.89207
3.90000;3.22886;185;42.78717
4.00000;3.22886;185;42.65843
