"radius_mm";"angle_rad";"angle_degree";"Axial-CURV-ant_ [D]"
0.00000;;;47.89643
0.10000;0.00000;0;47.70617
0.20000;0.00000;0;47.50347
0.30000;0.00000;0;47.28418
0.40000;0.00000;0;47.04840
0.50000;0.00000;0;46.79637
0.60000;0.00000;0;46.52852
0.70000;0.00000;0;46.24549
0.80000;0.00000;0;45.94816
0.90000;0.00000;0;45.63762
1.00000;0.00000;0;45.31525
1.10000;0.00000;0;44.98261
1.20000;0.00000;0;44.64152
1.30000;0.00000;0;44.29397
1.40000;0.00000;0;43.94210
1.50000;0.00000;0;43.58818
1.60000;0.00000;0;43.23452
1.70000;0.00000;0;42.88348
1.80000;0.00000;0;42.53735
1.90000;0.00000;0;42.19835
2.00000;0.00000;0;41.86857
2.10000;0.00000;0;41.54989
2.20000;0.00000;0;41.24401
2.30000;0.00000;0;40.95234
2.40000;0.00000;0;40.67605
2.50000;0.00000;0;40.41602
2.60000;0.00000;0;40.17283
2.70000;0.00000;0;39.94680
2.80000;0.00000;0;39.73796
2.90000;0.00000;0;39.54613
3.00000;0.00000;0;39.37089
3.10000;0.00000;0;39.21166
3.20000;0.00000;0;39.06771
3.30000;0.00000;0;38.93823
3.40000;0.00000;0;38.82234
3.50000;0.00000;0;38.71914
3.60000;0.00000;0;38.62778
3.70000;0.00000;0;38.54742
3.80000;0.00000;0;38.47734
3.90000;0.00000;0;38.41690
4.00000;0.00000;0;38.36560
4.10000;0.00000;0;38.32305
4.20000;0.00000;0;38.28902
4.30000;0.00000;0;38.26341
4.40000;0.00000;0;38.24622
4.50000;0.00000;0;38.23763
4.60000;0.00000;0;38.23787
4.70000;0.00000;0;38.24732
4.80000;0.00000;0;38.26641
4.90000;0.00000;0;38.29562
5.00000;0.00000;0;38.33550
0.10000;3.14159;180;48.06206
0.20000;3.14159;180;48.21555
0.30000;3.14159;180;48.35303
0.40000;3.14159;180;48.47469
0.50000;3.14159;180;48.58074
0.60000;3.14159;180;48.67134
0.70000;3.14159;180;48.74662
0.80000;3.14159;180;48.80666
0.90000;3.14159;180;48.85153
1.00000;3.14159;180;48.88122
1.10000;3.14159;180;48.89576
1.20000;3.14159;180;48.89515
1.30000;3.14159;180;48.87939
1.40000;3.14159;180;48.84854
1.50000;3.14159;180;48.80268
1.60000;3.14159;180;48.74195
1.70000;3.14159;180;48.66656
1.80000;3.14159;180;48.57676
1.90000;3.14159;180;48.47289
2.00000;3.14159;180;48.35536
2.10000;3.14159;180;48.22463
2.20000;3.14159;180;48.08120
2.30000;3.14159;180;47.92563
2.40000;3.14159;180;47.75852
