"radius_mm";"angle_rad";"angle_degree";"Inst-CURV-ant_ [D]"
0.00000;;;47.89643
0.10000;0.00000;0;47.51591
0.20000;0.00000;0;47.08562
0.30000;0.00000;0;46.60560
0.40000;0.00000;0;46.07652
0.50000;0.00000;0;45.49997
0.60000;0.00000;0;44.87856
0.70000;0.00000;0;44.21608
0.80000;0.00000;0;43.51754
0.90000;0.00000;0;42.78920
1.00000;0.00000;0;42.03852
1.10000;0.00000;0;41.27401
1.20000;0.00000;0;40.50505
1.30000;0.00000;0;39.74162
1.40000;0.00000;0;38.99400
1.50000;0.00000;0;38.27246
1.60000;0.00000;0;37.58693
1.70000;0.00000;0;36.94662
1.80000;0.00000;0;36.35972
1.90000;0.00000;0;35.83312
2.00000;0.00000;0;35.37218
2.10000;0.00000;0;34.98059
2.20000;0.00000;0;34.66021
2.30000;0.00000;0;34.41115
2.40000;0.00000;0;34.23175
2.50000;0.00000;0;34.11876
2.60000;0.00000;0;34.06754
2.70000;0.00000;0;34.07232
2.80000;0.00000;0;34.12652
2.90000;0.00000;0;34.22308
3.00000;0.00000;0;34.35478
3.10000;0.00000;0;34.51461
3.20000;0.00000;0;34.69609
3.30000;0.00000;0;34.89353
3.40000;0.00000;0;35.10226
3.50000;0.00000;0;35.31883
3.60000;0.00000;0;35.54105
3.70000;0.00000;0;35.76812
3.80000;0.00000;0;36.00054
3.90000;0.00000;0;36.24007
4.00000;0.00000;0;36.48957
4.10000;0.00000;0;36.75290
4.20000;0.00000;0;37.03468
4.30000;0.00000;0;37.34008
4.40000;0.00000;0;37.67465
4.50000;0.00000;0;38.04409
4.60000;0.00000;0;38.45405
4.70000;0.00000;0;38.90992
4.80000;0.00000;0;39.41672
4.90000;0.00000;0;39.97889
5.00000;0.00000;0;40.60020
0.10000;3.14159;180;48.22768
0.20000;3.14159;180;48.51042
0.30000;3.14159;180;48.74552
0.40000;3.14159;180;48.93383
0.50000;3.14159;180;49.07603
0.60000;3.14159;180;49.17265
0.70000;3.14159;180;49.22395
0.80000;3.14159;180;49.23003
0.90000;3.14159;180;49.19082
1.00000;3.14159;180;49.10621
1.10000;3.14159;180;48.97613
1.20000;3.14159;180;48.80063
1.30000;3.14159;180;48.58002
1.40000;3.14159;180;48.31493
1.50000;3.14159;180;48.00635
1.60000;3.14159;180;47.65568
1.70000;3.14159;180;47.26472
1.80000;3.14159;180;46.83566
1.90000;3.14159;180;46.37102
2.00000;3.14159;180;45.87356
2.10000;3.14159;180;45.34624
2.20000;3.14159;180;44.79209
2.30000;3.14159;180;44.21419
2.40000;3.14159;180;43.61557
2.50000;3.14159;180;42.99917
2.60000;3.14159;180;42.36785
2.70000;3.14159;180;41.72438
2.80000;3.14159;180;41.07147
2.90000;3.14159;180;40.41186
3.00000;3.14159;180;39.74838
3.10000;3.14159;180;39.08408
3.20000;3.14159;180;38.42229
3.30000;3.14159;180;37.76676
3.40000;3.14159;180;37.12175
3.50000;3.14159;180;36.49210
3.60000;3.14159;180;35.88332
3.70000;3.14159;180;35.30159
3.80000;3.14159;180;34.75380
3.90000;3.14159;180;34.24751
4.00000;3.14159;180;33.79090
4.10000;3.14159;180;33.39267
4.20000;3.14159;180;33.06196
4.30000;3.14159;180;32.80818
4.40000;3.14159;180;32.64087
4.50000;3.14159;180;32.56952
4.60000;3.14159;180;32.60338
4.70000;3.14159;180;32.75127
4.80000;3.14159;180;33.02135
4.90000;3.14159;180;33.42092
5.00000;3.14159;180;33.95622
0.10000;0.01745;1;47.45078
0.20000;0.01745;1;47.01090
0.30000;0.01745;1;46.52103
0.40000;0.01745;1;45.98204
0.50000;0.01745;1;45.39572
0.60000;0.01745;1;44.76491
0.70000;0.01745;1;44.09367
0.80000;0.01745;1;43.38729
0.90000;0.01745;1;42.65231
1.00000;0.01745;1;41.89644
1.10000;0.01745;1;41.12843
1.20000;0.01745;1;40.35783
1.30000;0.01745;1;39.59476
1.40000;0.01745;1;38.84958
1.50000;0.01745;1;38.13257
1.60000;0.01745;1;37.45360
1.70000;0.01745;1;36.82176
1.80000;0.01745;1;36.24507
1.90000;0.01745;1;35.73017
2.00000;0.01745;1;35.28217
2.10000;0.01745;1;34.90442
2.20000;0.01745;1;34.59848
2.30000;0.01745;1;34.36411
2.40000;0.01745;1;34.19933
2.50000;0.01745;1;34.10059
2.60000;0.01745;1;34.06296
2.70000;0.01745;1;34.08044
2.80000;0.01745;1;34.14626
2.90000;0.01745;1;34.25321
3.00000;0.01745;1;34.39399
3.10000;0.01745;1;34.56157
3.20000;0.01745;1;34.74945
3.30000;0.01745;1;34.95201
3.40000;0.01745;1;35.16466
3.50000;0.01745;1;35.38406
3.60000;0.01745;1;35.60815
3.70000;0.01745;1;35.83626
3.80000;0.01745;1;36.06900
3.90000;0.01745;1;36.30828
4.00000;0.01745;1;36.55706
4.10000;0.01745;1;36.81927
4.20000;0.01745;1;37.09961
4.30000;0.01745;1;37.40329
4.40000;0.01745;1;37.73589
4.50000;0.01745;1;38.10312
4.60000;0.01745;1;38.51059
4.70000;0.01745;1;38.96370
4.80000;0.01745;1;39.46742
4.90000;0.01745;1;40.02615
5.00000;0.01745;1;40.64362
0.10000;3.15905;181;48.18065
0.20000;3.15905;181;48.47180
0.30000;3.15905;181;48.71493
0.40000;3.15905;181;48.91094
0.50000;3.15905;181;49.06065
0.60000;3.15905;181;49.16470
0.70000;3.15905;181;49.22351
0.80000;3.15905;181;49.23732
0.90000;3.15905;181;49.20620
1.00000;3.15905;181;49.13016
1.10000;3.15905;181;49.00922
1.20000;3.15905;181;48.84349
1.30000;3.15905;181;48.63329
1.40000;3.15905;181;48.37923
1.50000;3.15905;181;48.08223
1.60000;3.15905;181;47.74358
1.70000;3.15905;181;47.36493
1.80000;3.15905;181;46.94829
1.90000;3.15905;181;46.49596
2.00000;3.15905;181;46.01047
2.10000;3.15905;181;45.49454
2.20000;3.15905;181;44.95094
2.30000;3.15905;181;44.38251
2.40000;3.15905;181;43.79203
2.50000;3.15905;181;43.18225
2.60000;3.15905;181;42.55581
2.70000;3.15905;181;41.91535
2.80000;3.15905;181;41.26346
2.90000;3.15905;181;40.60281
3.00000;3.15905;181;39.93622
3.10000;3.15905;181;39.26675
3.20000;3.15905;181;38.59779
3.30000;3.15905;181;37.93321
3.40000;3.15905;181;37.27742
3.50000;3.15905;181;36.63544
3.60000;3.15905;181;36.01298
3.70000;3.15905;181;35.41647
3.80000;3.15905;181;34.85302
3.90000;3.15905;181;34.33045
4.00000;3.15905;181;33.85719
4.10000;3.15905;181;33.44219
4.20000;3.15905;181;33.09481
4.30000;3.15905;181;32.82471
4.40000;3.15905;181;32.64161
4.50000;3.15905;181;32.55521
4.60000;3.15905;181;32.57492
4.70000;3.15905;181;32.70970
4.80000;3.15905;181;32.96785
4.90000;3.15905;181;33.35678
5.00000;3.15905;181;33.88281
0.10000;0.03491;2;47.38636
0.20000;0.03491;2;46.93699
0.30000;0.03491;2;46.43743
0.40000;0.03491;2;45.88870
0.50000;0.03491;2;45.29279
0.60000;0.03491;2;44.65282
0.70000;0.03491;2;43.97307
0.80000;0.03491;2;43.25914
0.90000;0.03491;2;42.51781
1.00000;0.03491;2;41.75707
1.10000;0.03491;2;40.98587
1.20000;0.03491;2;40.21395
1.30000;0.03491;2;39.45156
1.40000;0.03491;2;38.70911
1.50000;0.03491;2;37.99691
1.60000;0.03491;2;37.32473
1.70000;0.03491;2;36.70156
1.80000;0.03491;2;36.13522
1.90000;0.03491;2;35.63214
2.00000;0.03491;2;35.19711
2.10000;0.03491;2;34.83319
2.20000;0.03491;2;34.54162
2.30000;0.03491;2;34.32182
2.40000;0.03491;2;34.17149
2.50000;0.03491;2;34.08677
2.60000;0.03491;2;34.06247
2.70000;0.03491;2;34.09236
2.80000;0.03491;2;34.16949
2.90000;0.03491;2;34.28651
3.00000;0.03491;2;34.43605
3.10000;0.03491;2;34.61102
3.20000;0.03491;2;34.80498
3.30000;0.03491;2;35.01234
3.40000;0.03491;2;35.22861
3.50000;0.03491;2;35.45054
3.60000;0.03491;2;35.67622
3.70000;0.03491;2;35.90509
3.80000;0.03491;2;36.13792
3.90000;0.03491;2;36.37670
4.00000;0.03491;2;36.62453
4.10000;0.03491;2;36.88541
4.20000;0.03491;2;37.16410
4.30000;0.03491;2;37.46588
4.40000;0.03491;2;37.79633
4.50000;0.03491;2;38.16116
4.60000;0.03491;2;38.56599
4.70000;0.03491;2;39.01618
4.80000;0.03491;2;39.51667
4.90000;0.03491;2;40.07183
5.00000;0.03491;2;40.68534
0.10000;3.17650;182;48.13415
0.20000;3.17650;182;48.43365
0.30000;3.17650;182;48.68474
0.40000;3.17650;182;48.88843
0.50000;3.17650;182;49.04561
0.60000;3.17650;182;49.15707
0.70000;3.17650;182;49.22337
0.80000;3.17650;182;49.24489
0.90000;3.17650;182;49.22186
1.00000;3.17650;182;49.15439
1.10000;3.17650;182;49.04259
1.20000;3.17650;182;48.88664
1.30000;3.17650;182;48.68688
1.40000;3.17650;182;48.44387
1.50000;3.17650;182;48.15849
1.60000;3.17650;182;47.83191
1.70000;3.17650;182;47.46564
1.80000;3.17650;182;47.06149
1.90000;3.17650;182;46.62156
2.00000;3.17650;182;46.14814
2.10000;3.17650;182;45.64371
2.20000;3.17650;182;45.11079
2.30000;3.17650;182;44.55196
2.40000;3.17650;182;43.96978
2.50000;3.17650;182;43.36677
2.60000;3.17650;182;42.74541
2.70000;3.17650;182;42.10816
2.80000;3.17650;182;41.45752
2.90000;3.17650;182;40.79607
3.00000;3.17650;182;40.12662
3.10000;3.17650;182;39.45223
3.20000;3.17650;182;38.77637
3.30000;3.17650;182;38.10302
3.40000;3.17650;182;37.43672
3.50000;3.17650;182;36.78268
3.60000;3.17650;182;36.14680
3.70000;3.17650;182;35.53573
3.80000;3.17650;182;34.95683
3.90000;3.17650;182;34.41816
4.00000;3.17650;182;33.92838
4.10000;3.17650;182;33.49670
4.20000;3.17650;182;33.13270
4.30000;3.17650;182;32.84624
4.40000;3.17650;182;32.64727
4.50000;3.17650;182;32.54566
4.60000;3.17650;182;32.55098
4.70000;3.17650;182;32.67235
4.80000;3.17650;182;32.91819
4.90000;3.17650;182;33.29602
5.00000;3.17650;182;33.81225
0.10000;0.05236;3;47.32270
0.20000;0.05236;3;46.86397
0.30000;0.05236;3;46.35485
0.40000;0.05236;3;45.79655
0.50000;0.05236;3;45.19127
0.60000;0.05236;3;44.54236
0.70000;0.05236;3;43.85437
0.80000;0.05236;3;43.13317
0.90000;0.05236;3;42.38581
1.00000;0.05236;3;41.62052
1.10000;0.05236;3;40.84647
1.20000;0.05236;3;40.07358
1.30000;0.05236;3;39.31219
1.40000;0.05236;3;38.57279
1.50000;0.05236;3;37.86567
1.60000;0.05236;3;37.20055
1.70000;0.05236;3;36.58626
1.80000;0.05236;3;36.03044
1.90000;0.05236;3;35.53926
2.00000;0.05236;3;35.11726
2.10000;0.05236;3;34.76717
2.20000;0.05236;3;34.48990
2.30000;0.05236;3;34.28455
2.40000;0.05236;3;34.14851
2.50000;0.05236;3;34.07760
2.60000;0.05236;3;34.06638
2.70000;0.05236;3;34.10841
2.80000;0.05236;3;34.19654
2.90000;0.05236;3;34.32331
3.00000;0.05236;3;34.48127
3.10000;0.05236;3;34.66331
3.20000;0.05236;3;34.86301
3.30000;0.05236;3;35.07484
3.40000;0.05236;3;35.29441
3.50000;0.05236;3;35.51858
3.60000;0.05236;3;35.74555
3.70000;0.05236;3;35.97491
3.80000;0.05236;3;36.20754
3.90000;0.05236;3;36.44558
4.00000;0.05236;3;36.69219
4.10000;0.05236;3;36.95150
4.20000;0.05236;3;37.22830
4.30000;0.05236;3;37.52793
4.40000;0.05236;3;37.85599
4.50000;0.05236;3;38.21821
4.60000;0.05236;3;38.62018
4.70000;0.05236;3;39.06724
4.80000;0.05236;3;39.56430
4.90000;0.05236;3;40.11570
5.00000;0.05236;3;40.72507
0.10000;3.19395;183;48.08824
0.20000;3.19395;183;48.39604
0.30000;3.19395;183;48.65506
0.40000;3.19395;183;48.86638
0.50000;3.19395;183;49.03102
0.60000;3.19395;183;49.14987
0.70000;3.19395;183;49.22365
0.80000;3.19395;183;49.25289
0.90000;3.19395;183;49.23794
1.00000;3.19395;183;49.17904
1.10000;3.19395;183;49.07639
1.20000;3.19395;183;48.93023
1.30000;3.19395;183;48.74091
1.40000;3.19395;183;48.50898
1.50000;3.19395;183;48.23523
1.60000;3.19395;183;47.92074
1.70000;3.19395;183;47.56686
1.80000;3.19395;183;47.17522
1.90000;3.19395;183;46.74772
2.00000;3.19395;183;46.28641
2.10000;3.19395;183;45.79351
2.20000;3.19395;183;45.27132
2.30000;3.19395;183;44.72216
2.40000;3.19395;183;44.14837
2.50000;3.19395;183;43.55224
2.60000;3.19395;183;42.93608
2.70000;3.19395;183;42.30219
2.80000;3.19395;183;41.65296
2.90000;3.19395;183;40.99092
3.00000;3.19395;183;40.31882
3.10000;3.19395;183;39.63977
3.20000;3.19395;183;38.95729
3.30000;3.19395;183;38.27546
3.40000;3.19395;183;37.59896
3.50000;3.19395;183;36.93316
3.60000;3.19395;183;36.28417
3.70000;3.19395;183;35.65885
3.80000;3.19395;183;35.06479
3.90000;3.19395;183;34.51026
4.00000;3.19395;183;34.00419
4.10000;3.19395;183;33.55599
4.20000;3.19395;183;33.17548
4.30000;3.19395;183;32.87272
4.40000;3.19395;183;32.65786
4.50000;3.19395;183;32.54095
4.60000;3.19395;183;32.53172
4.70000;3.19395;183;32.63943
4.80000;3.19395;183;32.87263
4.90000;3.19395;183;33.23894
5.00000;3.19395;183;33.74489
0.10000;0.06981;4;47.25988
0.20000;0.06981;4;46.79189
0.30000;0.06981;4;46.27337
0.40000;0.06981;4;45.70568
0.50000;0.06981;4;45.09123
0.60000;0.06981;4;44.43362
