"radius_mm";"angle_rad";"angle_degree";"Ant. Elevation BFA_[um]"
0.00000;;;0.00000
0.10000;0.00000;0;1.32875
0.20000;0.00000;0;2.66261
0.30000;0.00000;0;3.99101
0.40000;0.00000;0;5.30416
0.50000;0.00000;0;6.59300
0.60000;0.00000;0;7.84929
0.70000;0.00000;0;9.06561
0.80000;0.00000;0;10.23541
0.90000;0.00000;0;11.35300
1.00000;0.00000;0;12.41359
1.10000;0.00000;0;13.41326
1.20000;0.00000;0;14.34901
1.30000;0.00000;0;15.21872
1.40000;0.00000;0;16.02118
1.50000;0.00000;0;16.75602
1.60000;0.00000;0;17.42379
1.70000;0.00000;0;18.02581
1.80000;0.00000;0;18.56427
1.90000;0.00000;0;19.04211
2.00000;0.00000;0;19.46303
2.10000;0.00000;0;19.83141
2.20000;0.00000;0;20.15232
2.30000;0.00000;0;20.43141
2.40000;0.00000;0;20.67488
2.50000;0.00000;0;20.88943
2.60000;0.00000;0;21.08217
2.70000;0.00000;0;21.26055
2.80000;0.00000;0;21.43232
2.90000;0.00000;0;21.60538
3.00000;0.00000;0;21.78777
3.10000;0.00000;0;21.98753
3.20000;0.00000;0;22.21260
3.30000;0.00000;0;22.47076
3.40000;0.00000;0;22.76948
3.50000;0.00000;0;23.11583
3.60000;0.00000;0;23.51636
3.70000;0.00000;0;23.97698
3.80000;0.00000;0;24.50283
3.90000;0.00000;0;25.09815
4.00000;0.00000;0;25.76613
4.10000;0.00000;0;26.50882
4.20000;0.00000;0;27.32689
4.30000;0.00000;0;28.21959
4.40000;0.00000;0;29.18449
4.50000;0.00000;0;30.21740
4.60000;0.00000;0;31.31215
4.70000;0.00000;0;32.46045
4.80000;0.00000;0;33.65169
4.90000;0.00000;0;34.87277
5.00000;0.00000;0;36.10794
0.10000;3.14159;180;-1.31242
0.20000;3.14159;180;-2.59663
0.30000;3.14159;180;-3.84018
0.40000;3.14159;180;-5.03008
0.50000;3.14159;180;-6.15287
0.60000;3.14159;180;-7.19472
0.70000;3.14159;180;-8.14144
0.80000;3.14159;180;-8.97863
0.90000;3.14159;180;-9.69171
1.00000;3.14159;180;-10.26603
1.10000;3.14159;180;-10.68696
1.20000;3.14159;180;-10.94000
1.30000;3.14159;180;-11.01085
1.40000;3.14159;180;-10.88556
1.50000;3.14159;180;-10.55060
1.60000;3.14159;180;-9.99304
1.70000;3.14159;180;-9.20060
1.80000;3.14159;180;-8.16182
1.90000;3.14159;180;-6.86619
2.00000;3.14159;180;-5.30429
2.10000;3.14159;180;-3.46792
2.20000;3.14159;180;-1.35026
2.30000;3.14159;180;1.05398
2.40000;3.14159;180;3.74842
2.50000;3.14159;180;6.73480
2.60000;3.14159;180;10.01287
2.70000;3.14159;180;13.58016
2.80000;3.14159;180;17.43186
2.90000;3.14159;180;21.56058
3.00000;3.14159;180;25.95621
3.10000;3.14159;180;30.60569
3.20000;3.14159;180;35.49285
3.30000;3.14159;180;40.59814
3.40000;3.14159;180;45.89852
3.50000;3.14159;180;51.36716
3.60000;3.14159;180;56.97326
3.70000;3.14159;180;62.68183
3.80000;3.14159;180;68.45343
3.90000;3.14159;180;74.24400
4.00000;3.14159;180;80.00456
4.10000;3.14159;180;85.68097
4.20000;3.14159;180;91.21374
4.30000;3.14159;180;96.53771
4.40000;3.14159;180;101.58184
4.50000;3.14159;180;106.26890
4.60000;3.14159;180;110.51526
4.70000;3.14159;180;114.23056
4.80000;3.14159;180;117.31748
4.90000;3.14159;180;119.67141
5.00000;3.14159;180;121.18021
