"radius_mm";"angle_rad";"angle_degree";"Ant. Elevation BFS_[um]"
0.00000;;;24.82358
0.10000;0.00000;0;25.84619
0.20000;0.00000;0;26.54744
0.30000;0.00000;0;26.92047
0.40000;0.00000;0;26.96100
0.50000;0.00000;0;26.66742
0.60000;0.00000;0;26.04106
0.70000;0.00000;0;25.08633
0.80000;0.00000;0;23.81106
0.90000;0.00000;0;22.22663
1.00000;0.00000;0;20.34829
1.10000;0.00000;0;18.19524
1.20000;0.00000;0;15.79079
1.30000;0.00000;0;13.16239
1.40000;0.00000;0;10.34155
1.50000;0.00000;0;7.36370
1.60000;0.00000;0;4.26797
1.70000;0.00000;0;1.09681
1.80000;0.00000;0;-2.10442
1.90000;0.00000;0;-5.28790
2.00000;0.00000;0;-8.40394
2.10000;0.00000;0;-11.40152
2.20000;0.00000;0;-14.22888
2.30000;0.00000;0;-16.83406
2.40000;0.00000;0;-19.16545
2.50000;0.00000;0;-21.17223
2.60000;0.00000;0;-22.80480
2.70000;0.00000;0;-24.01507
2.80000;0.00000;0;-24.75671
2.90000;0.00000;0;-24.98524
3.00000;0.00000;0;-24.65814
3.10000;0.00000;0;-23.73478
3.20000;0.00000;0;-22.17634
3.30000;0.00000;0;-19.94568
3.40000;0.00000;0;-17.00718
3.50000;0.00000;0;-13.32654
3.60000;0.00000;0;-8.87068
3.70000;0.00000;0;-3.60757
3.80000;0.00000;0;2.49379
3.90000;0.00000;0;9.46337
4.00000;0.00000;0;17.33000
4.10000;0.00000;0;26.12119
4.20000;0.00000;0;35.86286
4.30000;0.00000;0;46.57890
4.40000;0.00000;0;58.29073
4.50000;0.00000;0;71.01671
4.60000;0.00000;0;84.77152
4.70000;0.00000;0;99.56544
4.80000;0.00000;0;115.40360
4.90000;0.00000;0;132.28517
5.00000;0.00000;0;150.20256
0.10000;3.14159;180;23.48890
0.20000;3.14159;180;21.85386
0.30000;3.14159;180;19.93258
0.40000;3.14159;180;17.74160
0.50000;3.14159;180;15.30004
0.60000;3.14159;180;12.62959
0.70000;3.14159;180;9.75470
0.80000;3.14159;180;6.70258
0.90000;3.14159;180;3.50328
1.00000;3.14159;180;0.18962
1.10000;3.14159;180;-3.20284
1.20000;3.14159;180;-6.63599
1.30000;3.14159;180;-10.06942
1.40000;3.14159;180;-13.46071
1.50000;3.14159;180;-16.76584
1.60000;3.14159;180;-19.93962
1.70000;3.14159;180;-22.93619
1.80000;3.14159;180;-25.70952
1.90000;3.14159;180;-28.21395
2.00000;3.14159;180;-30.40468
2.10000;3.14159;180;-32.23824
2.20000;3.14159;180;-33.67292
2.30000;3.14159;180;-34.66910
2.40000;3.14159;180;-35.18952
2.50000;3.14159;180;-35.19948
2.60000;3.14159;180;-34.66692
2.70000;3.14159;180;-33.56244
2.80000;3.14159;180;-31.85920
2.90000;3.14159;180;-29.53283
3.00000;3.14159;180;-26.56120
3.10000;3.14159;180;-22.92418
3.20000;3.14159;180;-18.60345
3.30000;3.14159;180;-13.58218
3.40000;3.14159;180;-7.84482
3.50000;3.14159;180;-1.37690
3.60000;3.14159;180;5.83514
3.70000;3.14159;180;13.80409
3.80000;3.14159;180;22.54198
3.90000;3.14159;180;32.06011
4.00000;3.14159;180;42.36892
4.10000;3.14159;180;53.47788
4.20000;3.14159;180;65.39527
4.30000;3.14159;180;78.12792
4.40000;3.14159;180;91.68090
4.50000;3.14159;180;106.05717
4.60000;3.14159;180;121.25718
4.70000;3.14159;180;137.27851
4.80000;3.14159;180;154.11539
4.90000;3.14159;180;171.75831
5.00000;3.14159;180;190.19353
0.10000;0.01745;1;25.80939
0.20000;0.01745;1;26.47378
0.30000;0.01745;1;26.81000
0.40000;0.01745;1;26.81389
0.50000;0.01745;1;26.48399
0.60000;0.01745;1;25.82174
0.70000;0.01745;1;24.83176
0.80000;0.01745;1;23.52207
0.90000;0.01745;1;21.90434
1.00000;0.01745;1;19.99407
1.10000;0.01745;1;17.81081
1.20000;0.01745;1;15.37823
1.30000;0.01745;1;12.72417
1.40000;0.01745;1;9.88053
1.50000;0.01745;1;6.88317
1.60000;0.01745;1;3.77158
1.70000;0.01745;1;0.58858
1.80000;0.01745;1;-2.62014
1.90000;0.01745;1;-5.80651
2.00000;0.01745;1;-8.92065
2.10000;0.01745;1;-11.91143
2.20000;0.01745;1;-14.72706
2.30000;0.01745;1;-17.31564
2.40000;0.01745;1;-19.62572
2.50000;0.01745;1;-21.60674
2.60000;0.01745;1;-23.20941
2.70000;0.01745;1;-24.38607
2.80000;0.01745;1;-25.09083
2.90000;0.01745;1;-25.27976
3.00000;0.01745;1;-24.91089
3.10000;0.01745;1;-23.94418
3.20000;0.01745;1;-22.34142
3.30000;0.01745;1;-20.06606
3.40000;0.01745;1;-17.08307
3.50000;0.01745;1;-13.35872
3.60000;0.01745;1;-8.86047
3.70000;0.01745;1;-3.55679
3.80000;0.01745;1;2.58285
3.90000;0.01745;1;9.58800
4.00000;0.01745;1;17.48713
4.10000;0.01745;1;26.30742
4.20000;0.01745;1;36.07450
4.30000;0.01745;1;46.81201
4.40000;0.01745;1;58.54118
4.50000;0.01745;1;71.28022
4.60000;0.01745;1;85.04370
4.70000;0.01745;1;99.84184
4.80000;0.01745;1;115.67975
4.90000;0.01745;1;132.55662
5.00000;0.01745;1;150.46494
0.10000;3.15905;181;23.52551
0.20000;3.15905;181;21.92677
0.30000;3.15905;181;20.04129
0.40000;3.15905;181;17.88546
0.50000;3.15905;181;15.47815
0.60000;3.15905;181;12.84085
0.70000;3.15905;181;9.99772
0.80000;3.15905;181;6.97572
0.90000;3.15905;181;3.80458
1.00000;3.15905;181;0.51688
1.10000;3.15905;181;-2.85212
1.20000;3.15905;181;-6.26455
1.30000;3.15905;181;-9.68021
1.40000;3.15905;181;-13.05686
1.50000;3.15905;181;-16.35059
1.60000;3.15905;181;-19.51630
1.70000;3.15905;181;-22.50811
1.80000;3.15905;181;-25.27997
1.90000;3.15905;181;-27.78609
2.00000;3.15905;181;-29.98151
2.10000;3.15905;181;-31.82256
2.20000;3.15905;181;-33.26727
2.30000;3.15905;181;-34.27575
2.40000;3.15905;181;-34.81045
2.50000;3.15905;181;-34.83637
2.60000;3.15905;181;-34.32113
2.70000;3.15905;181;-33.23505
2.80000;3.15905;181;-31.55102
2.90000;3.15905;181;-29.24441
3.00000;3.15905;181;-26.29287
3.10000;3.15905;181;-22.67610
3.20000;3.15905;181;-18.37563
3.30000;3.15905;181;-13.37450
3.40000;3.15905;181;-7.65709
3.50000;3.15905;181;-1.20887
3.60000;3.15905;181;5.98377
3.70000;3.15905;181;13.93361
3.80000;3.15905;181;22.65271
3.90000;3.15905;181;32.15234
4.00000;3.15905;181;42.44293
4.10000;3.15905;181;53.53396
4.20000;3.15905;181;65.43371
4.30000;3.15905;181;78.14899
4.40000;3.15905;181;91.68491
4.50000;3.15905;181;106.04442
4.60000;3.15905;181;121.22803
4.70000;3.15905;181;137.23332
4.80000;3.15905;181;154.05458
4.90000;3.15905;181;171.68231
5.00000;3.15905;181;190.10283
0.10000;0.03491;2;25.77221
0.20000;0.03491;2;26.39931
0.30000;0.03491;2;26.69825
0.40000;0.03491;2;26.66498
0.50000;0.03491;2;26.29817
0.60000;0.03491;2;25.59943
0.70000;0.03491;2;24.57358
0.80000;0.03491;2;23.22885
0.90000;0.03491;2;21.57718
1.00000;0.03491;2;19.63438
1.10000;0.03491;2;17.42035
1.20000;0.03491;2;14.95914
1.30000;0.03491;2;12.27900
1.40000;0.03491;2;9.41226
1.50000;0.03491;2;6.39517
1.60000;0.03491;2;3.26766
1.70000;0.03491;2;0.07291
1.80000;0.03491;2;-3.14306
1.90000;0.03491;2;-6.33190
2.00000;0.03491;2;-9.44354
2.10000;0.03491;2;-12.42673
2.20000;0.03491;2;-15.22966
2.30000;0.03491;2;-17.80051
2.40000;0.03491;2;-20.08799
2.50000;0.03491;2;-22.04180
2.60000;0.03491;2;-23.61301
2.70000;0.03491;2;-24.75437
2.80000;0.03491;2;-25.42051
2.90000;0.03491;2;-25.56804
3.00000;0.03491;2;-25.15557
3.10000;0.03491;2;-24.14370
3.20000;0.03491;2;-22.49482
3.30000;0.03491;2;-20.17303
3.40000;0.03491;2;-17.14391
3.50000;0.03491;2;-13.37432
3.60000;0.03491;2;-8.83226
3.70000;0.03491;2;-3.48674
3.80000;0.03491;2;2.69231
3.90000;0.03491;2;9.73400
4.00000;0.03491;2;17.66644
4.10000;0.03491;2;26.51646
4.20000;0.03491;2;36.30941
4.30000;0.03491;2;47.06871
4.40000;0.03491;2;58.81540
4.50000;0.03491;2;71.56754
4.60000;0.03491;2;85.33962
4.70000;0.03491;2;100.14179
4.80000;0.03491;2;115.97916
4.90000;0.03491;2;132.85097
5.00000;0.03491;2;150.74981
0.10000;3.17650;182;23.56245
