"radius_mm";"angle_rad";"angle_degree";"Inst-CURV-ant_ [D]"
0.00000;;;64.70428
0.10000;0.00000;0;64.34435
0.20000;0.00000;0;64.18148
0.30000;0.00000;0;64.19137
0.40000;0.00000;0;64.33577
0.50000;0.00000;0;64.56571
0.60000;0.00000;0;64.82524
0.70000;0.00000;0;65.05558
0.80000;0.00000;0;65.19924
0.90000;0.00000;0;65.20389
1.00000;0.00000;0;65.02568
1.10000;0.00000;0;64.63177
1.20000;0.00000;0;64.00182
1.30000;0.00000;0;63.12852
1.40000;0.00000;0;62.01704
1.50000;0.00000;0;60.68377
1.60000;0.00000;0;59.15428
1.70000;0.00000;0;57.46092
1.80000;0.00000;0;55.64013
1.90000;0.00000;0;53.72985
2.00000;0.00000;0;51.76720
2.10000;0.00000;0;49.78645
2.20000;0.00000;0;47.81749
2.30000;0.00000;0;45.88478
2.40000;0.00000;0;44.00675
2.50000;0.00000;0;42.19559
2.60000;0.00000;0;40.45762
2.70000;0.00000;0;38.79376
2.80000;0.00000;0;37.20044
2.90000;0.00000;0;35.67062
3.00000;0.00000;0;34.19489
3.10000;0.00000;0;32.76278
3.20000;0.00000;0;31.36396
3.30000;0.00000;0;29.98943
3.40000;0.00000;0;28.63258
3.50000;0.00000;0;27.29025
3.60000;0.00000;0;25.96355
3.70000;0.00000;0;24.65867
3.80000;0.00000;0;23.38754
3.90000;0.00000;0;22.16840
4.00000;0.00000;0;21.02642
4.10000;0.00000;0;19.99427
4.20000;0.00000;0;19.11284
4.30000;0.00000;0;18.43209
4.40000;0.00000;0;18.01191
4.50000;0.00000;0;17.92325
4.60000;0.00000;0;18.24931
4.70000;0.00000;0;19.08677
4.80000;0.00000;0;20.54681
4.90000;0.00000;0;22.75581
5.00000;0.00000;0;25.85485
0.10000;3.14159;180;65.26924
0.20000;3.14159;180;66.02953
0.30000;3.14159;180;66.95770
0.40000;3.14159;180;68.00975
0.50000;3.14159;180;69.12749
0.60000;3.14159;180;70.24206
0.70000;3.14159;180;71.27838
0.80000;3.14159;180;72.16024
0.90000;3.14159;180;72.81568
1.00000;3.14159;180;73.18221
1.10000;3.14159;180;73.21126
1.20000;3.14159;180;72.87149
1.30000;3.14159;180;72.15069
1.40000;3.14159;180;71.05604
1.50000;3.14159;180;69.61294
1.60000;3.14159;180;67.86242
1.70000;3.14159;180;65.85763
1.80000;3.14159;180;63.65956
1.90000;3.14159;180;61.33275
2.00000;3.14159;180;58.94120
2.10000;3.14159;180;56.54483
2.20000;3.14159;180;54.19666
2.30000;3.14159;180;51.94077
2.40000;3.14159;180;49.81105
2.50000;3.14159;180;47.83076
2.60000;3.14159;180;46.01267
2.70000;3.14159;180;44.35986
2.80000;3.14159;180;42.86703
2.90000;3.14159;180;41.52200
3.00000;3.14159;180;40.30765
3.10000;3.14159;180;39.20381
3.20000;3.14159;180;38.18924
3.30000;3.14159;180;37.24356
3.40000;3.14159;180;36.34894
3.50000;3.14159;180;35.49163
3.60000;3.14159;180;34.66308
3.70000;3.14159;180;33.86086
3.80000;3.14159;180;33.08911
3.90000;3.14159;180;32.35885
4.00000;3.14159;180;31.68801
4.10000;3.14159;180;31.10136
4.20000;3.14159;180;30.63030
4.30000;3.14159;180;30.31264
4.40000;3.14159;180;30.19237
4.50000;3.14159;180;30.31943
4.60000;3.14159;180;30.74960
4.70000;3.14159;180;31.54407
4.80000;3.14159;180;32.76888
4.90000;3.14159;180;34.49358
5.00000;3.14159;180;36.78905
0.10000;0.01745;1;64.37215
0.20000;0.01745;1;64.22200
0.30000;0.01745;1;64.23886
0.40000;0.01745;1;64.38454
0.50000;0.01745;1;64.61051
0.60000;0.01745;1;64.86158
0.70000;0.01745;1;65.07995
0.80000;0.01745;1;65.20928
0.90000;0.01745;1;65.19839
1.00000;0.01745;1;65.00460
1.10000;0.01745;1;64.59604
1.20000;0.01745;1;63.95317
1.30000;0.01745;1;63.06918
1.40000;0.01745;1;61.94950
1.50000;0.01745;1;60.61050
1.60000;0.01745;1;59.07750
1.70000;0.01745;1;57.38237
1.80000;0.01745;1;55.56093
1.90000;0.01745;1;53.65047
2.00000;0.01745;1;51.68738
2.10000;0.01745;1;49.70527
2.20000;0.01745;1;47.73348
2.30000;0.01745;1;45.79600
2.40000;0.01745;1;43.91095
2.50000;0.01745;1;42.09039
2.60000;0.01745;1;40.34063
2.70000;0.01745;1;38.66278
2.80000;0.01745;1;37.05361
2.90000;0.01745;1;35.50646
3.00000;0.01745;1;34.01249
3.10000;0.01745;1;32.56176
3.20000;0.01745;1;31.14455
3.30000;0.01745;1;29.75242
3.40000;0.01745;1;28.37934
3.50000;0.01745;1;27.02257
3.60000;0.01745;1;25.68362
3.70000;0.01745;1;24.36893
3.80000;0.01745;1;23.09058
3.90000;0.01745;1;21.86686
4.00000;0.01745;1;20.72286
4.10000;0.01745;1;19.69109
4.20000;0.01745;1;18.81216
4.30000;0.01745;1;18.13565
4.40000;0.01745;1;17.72103
4.50000;0.01745;1;17.63873
4.60000;0.01745;1;17.97137
4.70000;0.01745;1;18.81498
4.80000;0.01745;1;20.28007
4.90000;0.01745;1;22.49230
5.00000;0.01745;1;25.59211
0.10000;3.15905;181;65.25609
0.20000;3.15905;181;65.99005
0.30000;3.15905;181;66.88985
0.40000;3.15905;181;67.91322
0.50000;3.15905;181;69.00387
0.60000;3.15905;181;70.09488
0.70000;3.15905;181;71.11298
0.80000;3.15905;181;71.98354
0.90000;3.15905;181;72.63580
1.00000;3.15905;181;73.00799
1.10000;3.15905;181;73.05170
1.20000;3.15905;181;72.73524
1.30000;3.15905;181;72.04549
1.40000;3.15905;181;70.98829
1.50000;3.15905;181;69.58734
1.60000;3.15905;181;67.88183
1.70000;3.15905;181;65.92296
1.80000;3.15905;181;63.76989
1.90000;3.15905;181;61.48551
2.00000;3.15905;181;59.13240
2.10000;3.15905;181;56.76937
2.20000;3.15905;181;54.44866
2.30000;3.15905;181;52.21389
2.40000;3.15905;181;50.09881
2.50000;3.15905;181;48.12675
2.60000;3.15905;181;46.31085
2.70000;3.15905;181;44.65474
2.80000;3.15905;181;43.15380
2.90000;3.15905;181;41.79666
3.00000;3.15905;181;40.56706
3.10000;3.15905;181;39.44571
3.20000;3.15905;181;38.41226
3.30000;3.15905;181;37.44716
3.40000;3.15905;181;36.53329
3.50000;3.15905;181;35.65750
3.60000;3.15905;181;34.81175
3.70000;3.15905;181;33.99395
3.80000;3.15905;181;33.20851
3.90000;3.15905;181;32.46653
4.00000;3.15905;181;31.78598
4.10000;3.15905;181;31.19155
4.20000;3.15905;181;30.71455
4.30000;3.15905;181;30.39268
4.40000;3.15905;181;30.26976
4.50000;3.15905;181;30.39563
4.60000;3.15905;181;30.82594
4.70000;3.15905;181;31.62183
4.80000;3.15905;181;32.84927
4.90000;3.15905;181;34.57777
5.00000;3.15905;181;36.87808
0.10000;0.03491;2;64.39821
0.20000;0.03491;2;64.26055
0.30000;0.03491;2;64.28396
0.40000;0.03491;2;64.43037
0.50000;0.03491;2;64.65174
0.60000;0.03491;2;64.89368
0.70000;0.03491;2;65.09943
0.80000;0.03491;2;65.21377
0.90000;0.03491;2;65.18676
1.00000;0.03491;2;64.97682
1.10000;0.03491;2;64.55309
1.20000;0.03491;2;63.89679
1.30000;0.03491;2;63.00163
1.40000;0.03491;2;61.87330
1.50000;0.03491;2;60.52814
1.60000;0.03491;2;58.99123
