"radius_mm";"angle_rad";"angle_degree";"Ant. Elevation BFTA_[um]"
0.00000;;;0.00000
0.10000;0.00000;0;1.84163
0.20000;0.00000;0;3.64253
0.30000;0.00000;0;5.39057
0.40000;0.00000;0;7.07397
0.50000;0.00000;0;8.68137
0.60000;0.00000;0;10.20182
0.70000;0.00000;0;11.62485
0.80000;0.00000;0;12.94045
0.90000;0.00000;0;14.13911
1.00000;0.00000;0;15.21185
1.10000;0.00000;0;16.15026
1.20000;0.00000;0;16.94646
1.30000;0.00000;0;17.59319
1.40000;0.00000;0;18.08379
1.50000;0.00000;0;18.41223
1.60000;0.00000;0;18.57312
1.70000;0.00000;0;18.56172
1.80000;0.00000;0;18.37401
1.90000;0.00000;0;18.00660
2.00000;0.00000;0;17.45687
2.10000;0.00000;0;16.72287
2.20000;0.00000;0;15.80340
2.30000;0.00000;0;14.69802
2.40000;0.00000;0;13.40701
2.50000;0.00000;0;11.93144
2.60000;0.00000;0;10.27312
2.70000;0.00000;0;8.43468
2.80000;0.00000;0;6.41949
2.90000;0.00000;0;4.23175
3.00000;0.00000;0;1.87643
3.10000;0.00000;0;-0.64069
3.20000;0.00000;0;-3.31304
3.30000;0.00000;0;-6.13322
3.40000;0.00000;0;-9.09305
3.50000;0.00000;0;-12.18354
3.60000;0.00000;0;-15.39487
3.70000;0.00000;0;-18.71645
3.80000;0.00000;0;-22.13688
3.90000;0.00000;0;-25.64394
4.00000;0.00000;0;-29.22464
4.10000;0.00000;0;-32.86519
4.20000;0.00000;0;-36.55103
4.30000;0.00000;0;-40.26681
4.40000;0.00000;0;-43.99641
4.50000;0.00000;0;-47.72298
4.60000;0.00000;0;-51.42889
4.70000;0.00000;0;-55.09577
4.80000;0.00000;0;-58.70456
4.90000;0.00000;0;-62.23544
5.00000;0.00000;0;-65.66793
0.10000;3.14159;180;-1.86986
0.20000;3.14159;180;-3.75514
0.30000;3.14159;180;-5.64276
0.40000;3.14159;180;-7.51937
0.50000;3.14159;180;-9.37140
0.60000;3.14159;180;-11.18508
0.70000;3.14159;180;-12.94650
0.80000;3.14159;180;-14.64163
0.90000;3.14159;180;-16.25634
1.00000;3.14159;180;-17.77647
1.10000;3.14159;180;-19.18783
1.20000;3.14159;180;-20.47627
