"radius_mm";"angle_rad";"angle_degree";"Post. Elevation BFTA_[um]"
0.00000;;;0.00000
0.10000;0.00000;0;1.05615
0.20000;0.00000;0;2.16539
0.30000;0.00000;0;3.31121
0.40000;0.00000;0;4.47590
0.50000;0.00000;0;5.64071
0.60000;0.00000;0;6.78606
0.70000;0.00000;0;7.89166
0.80000;0.00000;0;8.93680
0.90000;0.00000;0;9.90054
1.00000;0.00000;0;10.76199
1.10000;0.00000;0;11.50056
1.20000;0.00000;0;12.09627
1.30000;0.00000;0;12.53007
1.40000;0.00000;0;12.78416
1.50000;0.00000;0;12.84237
1.60000;0.00000;0;12.69049
1.70000;0.00000;0;12.31672
1.80000;0.00000;0;11.71205
1.90000;0.00000;0;10.87071
2.00000;0.00000;0;9.79060
2.10000;0.00000;0;8.47382
2.20000;0.00000;0;6.92710
2.30000;0.00000;0;5.16236
2.40000;0.00000;0;3.19724
2.50000;0.00000;0;1.05563
2.60000;0.00000;0;-1.23171
2.70000;0.00000;0;-3.62660
2.80000;0.00000;0;-6.08280
2.90000;0.00000;0;-8.54537
3.00000;0.00000;0;-10.95002
3.10000;0.00000;0;-13.22245
3.20000;0.00000;0;-15.27763
3.30000;0.00000;0;-17.01908
3.40000;0.00000;0;-18.33817
3.50000;0.00000;0;-19.11333
3.60000;0.00000;0;-19.20927
3.70000;0.00000;0;-18.47621
3.80000;0.00000;0;-16.74905
3.90000;0.00000;0;-13.84653
4.00000;0.00000;0;-9.57038
4.10000;0.00000;0;-3.70443
4.20000;0.00000;0;3.98626
4.30000;0.00000;0;13.75635
4.40000;0.00000;0;25.88113
4.50000;0.00000;0;40.65749
4.60000;0.00000;0;58.40491
4.70000;0.00000;0;79.46642
4.80000;0.00000;0;104.20966
4.90000;0.00000;0;133.02787
5.00000;0.00000;0;166.34101
0.10000;3.14159;180;-0.98787
0.20000;3.14159;180;-1.89371
0.30000;3.14159;180;-2.70530
0.40000;3.14159;180;-3.41203
0.50000;3.14159;180;-4.00495
0.60000;3.14159;180;-4.47681
0.70000;3.14159;180;-4.82206
0.80000;3.14159;180;-5.03688
0.90000;3.14159;180;-5.11909
1.00000;3.14159;180;-5.06818
1.10000;3.14159;180;-4.88517
1.20000;3.14159;180;-4.57260
1.30000;3.14159;180;-4.13436
1.40000;3.14159;180;-3.57558
1.50000;3.14159;180;-2.90250
1.60000;3.14159;180;-2.12230
1.70000;3.14159;180;-1.24291
1.80000;3.14159;180;-0.27279
1.90000;3.14159;180;0.77928
2.00000;3.14159;180;1.90445
2.10000;3.14159;180;3.09407
2.20000;3.14159;180;4.33998
2.30000;3.14159;180;5.63481
2.40000;3.14159;180;6.97229
2.50000;3.14159;180;8.34766
2.60000;3.14159;180;9.75794
2.70000;3.14159;180;11.20242
2.80000;3.14159;180;12.68297
2.90000;3.14159;180;14.20457
3.00000;3.14159;180;15.77565
3.10000;3.14159;180;17.40863
3.20000;3.14159;180;19.12040
3.30000;3.14159;180;20.93280
3.40000;3.14159;180;22.87316
3.50000;3.14159;180;24.97485
3.60000;3.14159;180;27.27787
3.70000;3.14159;180;29.82938
3.80000;3.14159;180;32.68437
3.90000;3.14159;180;35.90625
4.00000;3.14159;180;39.56750
4.10000;3.14159;180;43.75037
4.20000;3.14159;180;48.54753
4.30000;3.14159;180;54.06278
4.40000;3.14159;180;60.41182
4.50000;3.14159;180;67.72294
4.60000;3.14159;180;76.13785
4.70000;3.14159;180;85.81242
4.80000;3.14159;180;96.91749
4.90000;3.14159;180;109.63973
5.00000;3.14159;180;124.18247
0.10000;0.01745;1;1.04343
0.20000;0.01745;1;2.13697
0.30000;0.01745;1;3.26431
0.40000;0.01745;1;4.40801
0.50000;0.01745;1;5.54963
0.60000;0.01745;1;6.66996
0.70000;0.01745;1;7.74915
0.80000;0.01745;1;8.76694
0.90000;0.01745;1;9.70292
1.00000;0.01745;1;10.53677
1.10000;0.01745;1;11.24850
1.20000;0.01745;1;11.81879
1.30000;0.01745;1;12.22927
1.40000;0.01745;1;12.46286
1.50000;0.01745;1;12.50411
1.60000;0.01745;1;12.33960
1.70000;0.01745;1;11.95830
1.80000;0.01745;1;11.35196
1.90000;0.01745;1;10.51561
2.00000;0.01745;1;9.44794
2.10000;0.01745;1;8.15180
2.20000;0.01745;1;6.63467
2.30000;0.01745;1;4.90919
2.40000;0.01745;1;2.99367
2.50000;0.01745;1;0.91264
2.60000;0.01745;1;-1.30258
2.70000;0.01745;1;-3.61330
2.80000;0.01745;1;-5.97286
2.90000;0.01745;1;-8.32597
3.00000;0.01745;1;-10.60812
3.10000;0.01745;1;-12.74488
3.20000;0.01745;1;-14.65123
3.30000;0.01745;1;-16.23083
3.40000;0.01745;1;-17.37534
3.50000;0.01745;1;-17.96364
3.60000;0.01745;1;-17.86110
3.70000;0.01745;1;-16.91877
3.80000;0.01745;1;-14.97258
3.90000;0.01745;1;-11.84255
4.00000;0.01745;1;-7.33191
4.10000;0.01745;1;-1.22626
4.20000;0.01745;1;6.70731
4.30000;0.01745;1;16.72111
4.40000;0.01745;1;29.08781
4.50000;0.01745;1;44.10132
4.60000;0.01745;1;62.07781
4.70000;0.01745;1;83.35663
4.80000;0.01745;1;108.30135
4.90000;0.01745;1;137.30077
5.00000;0.01745;1;170.76993
0.10000;3.15905;181;-0.97827
0.20000;3.15905;181;-1.87774
0.30000;3.15905;181;-2.68622
0.40000;3.15905;181;-3.39309
0.50000;3.15905;181;-3.98933
0.60000;3.15905;181;-4.46759
0.70000;3.15905;181;-4.82216
0.80000;3.15905;181;-5.04900
0.90000;3.15905;181;-5.14571
1.00000;3.15905;181;-5.11148
1.10000;3.15905;181;-4.94703
1.20000;3.15905;181;-4.65456
1.30000;3.15905;181;-4.23759
1.40000;3.15905;181;-3.70089
1.50000;3.15905;181;-3.05031
1.60000;3.15905;181;-2.29264
1.70000;3.15905;181;-1.43542
1.80000;3.15905;181;-0.48674
1.90000;3.15905;181;0.54497
2.00000;3.15905;181;1.65120
2.10000;3.15905;181;2.82359
2.20000;3.15905;181;4.05421
2.30000;3.15905;181;5.33589
2.40000;3.15905;181;6.66251
2.50000;3.15905;181;8.02931
2.60000;3.15905;181;9.43332
2.70000;3.15905;181;10.87367
2.80000;3.15905;181;12.35200
2.90000;3.15905;181;13.87291
3.00000;3.15905;181;15.44433
3.10000;3.15905;181;17.07805
3.20000;3.15905;181;18.79012
3.30000;3.15905;181;20.60140
3.40000;3.15905;181;22.53805
3.50000;3.15905;181;24.63207
3.60000;3.15905;181;26.92181
3.70000;3.15905;181;29.45263
3.80000;3.15905;181;32.27741
3.90000;3.15905;181;35.45719
4.00000;3.15905;181;39.06181
4.10000;3.15905;181;43.17056
4.20000;3.15905;181;47.87282
4.30000;3.15905;181;53.26879
4.40000;3.15905;181;59.47017
4.50000;3.15905;181;66.60093
4.60000;3.15905;181;74.79797
4.70000;3.15905;181;84.21201
4.80000;3.15905;181;95.00827
4.90000;3.15905;181;107.36734
5.00000;3.15905;181;121.48599
0.10000;0.03491;2;1.03036
0.20000;0.03491;2;2.10778
0.30000;0.03491;2;3.21619
0.40000;0.03491;2;4.33840
0.50000;0.03491;2;5.45634
0.60000;0.03491;2;6.55115
0.70000;0.03491;2;7.60342
0.80000;0.03491;2;8.59340
0.90000;0.03491;2;9.50120
1.00000;0.03491;2;10.30708
1.10000;0.03491;2;10.99169
1.20000;0.03491;2;11.53636
1.30000;0.03491;2;11.92341
1.40000;0.03491;2;12.13649
1.50000;0.03491;2;12.16090
1.60000;0.03491;2;11.98398
1.70000;0.03491;2;11.59547
1.80000;0.03491;2;10.98793
1.90000;0.03491;2;10.15715
2.00000;0.03491;2;9.10259
2.10000;0.03491;2;7.82787
2.20000;0.03491;2;6.34120
2.30000;0.03491;2;4.65592
2.40000;0.03491;2;2.79099
2.50000;0.03491;2;0.77155
2.60000;0.03491;2;-1.37053
2.70000;0.03491;2;-3.59610
2.80000;0.03491;2;-5.85811
2.90000;0.03491;2;-8.10099
3.00000;0.03491;2;-10.26004
3.10000;0.03491;2;-12.26077
3.20000;0.03491;2;-14.01820
3.30000;0.03491;2;-15.43624
3.40000;0.03491;2;-16.40691
3.50000;0.03491;2;-16.80963
3.60000;0.03491;2;-16.51049
3.70000;0.03491;2;-15.36150
3.80000;0.03491;2;-13.19973
3.90000;0.03491;2;-9.84658
4.00000;0.03491;2;-5.10693
4.10000;0.03491;2;1.23171
4.20000;0.03491;2;9.40008
4.30000;0.03491;2;19.64800
4.40000;0.03491;2;32.24532
4.50000;0.03491;2;47.48280
4.60000;0.03491;2;65.67312
4.70000;0.03491;2;87.15173
4.80000;0.03491;2;112.27793
4.90000;0.03491;2;141.43582
5.00000;0.03491;2;175.03529
0.10000;3.17650;182;-0.96841
0.20000;3.17650;182;-1.86133
0.30000;3.17650;182;-2.66664
0.40000;3.17650;182;-3.37370
0.50000;3.17650;182;-3.97346
0.60000;3.17650;182;-4.45845
0.70000;3.17650;182;-4.82283
0.80000;3.17650;182;-5.06234
0.90000;3.17650;182;-5.17435
1.00000;3.17650;182;-5.15779
1.10000;3.17650;182;-5.01308
1.20000;3.17650;182;-4.74205
1.30000;3.17650;182;-4.34788
1.40000;3.17650;182;-3.83496
1.50000;3.17650;182;-3.20876
1.60000;3.17650;182;-2.47566
1.70000;3.17650;182;-1.64281
1.80000;3.17650;182;-0.71792
1.90000;3.17650;182;0.29095
2.00000;3.17650;182;1.37563
2.10000;3.17650;182;2.52807
2.20000;3.17650;182;3.74062
