"radius_mm";"angle_rad";"angle_degree";"HEIGHT-post_ [mm]"
0.00000;;;41.90916
0.10000;0.00000;0;41.90598
0.20000;0.00000;0;41.90113
0.30000;0.00000;0;41.89468
0.40000;0.00000;0;41.88665
0.50000;0.00000;0;41.87710
0.60000;0.00000;0;41.86604
0.70000;0.00000;0;41.85350
0.80000;0.00000;0;41.83947
0.90000;0.00000;0;41.82394
1.00000;0.00000;0;41.80690
1.10000;0.00000;0;41.78831
1.20000;0.00000;0;41.76813
1.30000;0.00000;0;41.74633
1.40000;0.00000;0;41.72284
1.50000;0.00000;0;41.69764
1.60000;0.00000;0;41.67067
1.70000;0.00000;0;41.64189
1.80000;0.00000;0;41.61128
1.90000;0.00000;0;41.57878
2.00000;0.00000;0;41.54440
2.10000;0.00000;0;41.50810
2.20000;0.00000;0;41.46989
2.30000;0.00000;0;41.42976
2.40000;0.00000;0;41.38770
2.50000;0.00000;0;41.34373
2.60000;0.00000;0;41.29785
2.70000;0.00000;0;41.25007
2.80000;0.00000;0;41.20039
2.90000;0.00000;0;41.14882
3.00000;0.00000;0;41.09536
3.10000;0.00000;0;41.03998
3.20000;0.00000;0;40.98269
3.30000;0.00000;0;40.92344
3.40000;0.00000;0;40.86221
3.50000;0.00000;0;40.79893
3.60000;0.00000;0;40.73353
3.70000;0.00000;0;40.66593
3.80000;0.00000;0;40.59602
3.90000;0.00000;0;40.52366
4.00000;0.00000;0;40.44871
4.10000;0.00000;0;40.37097
4.20000;0.00000;0;40.29023
4.30000;0.00000;0;40.20623
4.40000;0.00000;0;40.11867
4.50000;0.00000;0;40.02719
4.60000;0.00000;0;39.93138
4.70000;0.00000;0;39.83073
4.80000;0.00000;0;39.72465
4.90000;0.00000;0;39.61243
5.00000;0.00000;0;39.49318
0.10000;3.14159;180;41.91061
0.20000;3.14159;180;41.91029
0.30000;3.14159;180;41.90813
0.40000;3.14159;180;41.90409
0.50000;3.14159;180;41.89813
0.60000;3.14159;180;41.89020
0.70000;3.14159;180;41.88031
0.80000;3.14159;180;41.86842
0.90000;3.14159;180;41.85456
1.00000;3.14159;180;41.83874
1.10000;3.14159;180;41.82096
1.20000;3.14159;180;41.80128
1.30000;3.14159;180;41.77971
1.40000;3.14159;180;41.75629
1.50000;3.14159;180;41.73105
1.60000;3.14159;180;41.70402
1.70000;3.14159;180;41.67523
1.80000;3.14159;180;41.64468
1.90000;3.14159;180;41.61239
2.00000;3.14159;180;41.57835
2.10000;3.14159;180;41.54256
2.20000;3.14159;180;41.50499
2.30000;3.14159;180;41.46562
2.40000;3.14159;180;41.42442
2.50000;3.14159;180;41.38134
2.60000;3.14159;180;41.33635
2.70000;3.14159;180;41.28939
2.80000;3.14159;180;41.24040
2.90000;3.14159;180;41.18934
3.00000;3.14159;180;41.13614
3.10000;3.14159;180;41.08074
3.20000;3.14159;180;41.02307
3.30000;3.14159;180;40.96306
3.40000;3.14159;180;40.90062
3.50000;3.14159;180;40.83567
3.60000;3.14159;180;40.76812
3.70000;3.14159;180;40.69784
3.80000;3.14159;180;40.62474
3.90000;3.14159;180;40.54867
4.00000;3.14159;180;40.46948
4.10000;3.14159;180;40.38699
4.20000;3.14159;180;40.30101
4.30000;3.14159;180;40.21130
4.40000;3.14159;180;40.11762
